case	scheme_dir	file	MB	mtime	abs_path
leveque	s1	lev_bvd.txt.vtk	6.5	2026-07-05 13:14:50	/home/younglin90/work/claude_code/claudeCFD/cpp/results/paper2_3_data/leveque/s1/lev_bvd.txt.vtk
leveque	s2	lev_bvd.txt.vtk	6.5	2026-07-05 13:25:01	/home/younglin90/work/claude_code/claudeCFD/cpp/results/paper2_3_data/leveque/s2/lev_bvd.txt.vtk
leveque	s3	lev_bvd.txt.vtk	6.5	2026-07-05 16:11:54	/home/younglin90/work/claude_code/claudeCFD/cpp/results/paper2_3_data/leveque/s3/lev_bvd.txt.vtk
config3	s1	config3.txt.vtk	11.3	2026-07-05 14:46:29	/home/younglin90/work/claude_code/claudeCFD/cpp/results/paper2_3_data/config3/s1/config3.txt.vtk
config3	s2	config3.txt.vtk	11.3	2026-07-05 15:08:04	/home/younglin90/work/claude_code/claudeCFD/cpp/results/paper2_3_data/config3/s2/config3.txt.vtk
config3	s3	config3.txt.vtk	11.3	2026-07-05 15:32:49	/home/younglin90/work/claude_code/claudeCFD/cpp/results/paper2_3_data/config3/s3/config3.txt.vtk
shockvortex	s1	field.txt.vtk	10.0	2026-07-05 13:46:26	/home/younglin90/work/claude_code/claudeCFD/cpp/results/paper2_3_data/shockvortex/s1/field.txt.vtk
shockvortex	s2	field.txt.vtk	10.0	2026-07-05 13:49:12	/home/younglin90/work/claude_code/claudeCFD/cpp/results/paper2_3_data/shockvortex/s2/field.txt.vtk
shockvortex	s3	field.txt.vtk	10.0	2026-07-05 16:16:11	/home/younglin90/work/claude_code/claudeCFD/cpp/results/paper2_3_data/shockvortex/s3/field.txt.vtk
shockmixing	s1	field.txt.vtk	4.0	2026-07-05 13:59:23	/home/younglin90/work/claude_code/claudeCFD/cpp/results/paper2_3_data/shockmixing/s1/field.txt.vtk
shockmixing	s2	field.txt.vtk	4.0	2026-07-05 14:04:53	/home/younglin90/work/claude_code/claudeCFD/cpp/results/paper2_3_data/shockmixing/s2/field.txt.vtk
shockmixing	s3	field.txt.vtk	4.0	2026-07-05 16:24:43	/home/younglin90/work/claude_code/claudeCFD/cpp/results/paper2_3_data/shockmixing/s3/field.txt.vtk
shockmixing	s3_pervar	field.txt.vtk	4.4	2026-07-05 22:51:53	/home/younglin90/work/claude_code/claudeCFD/cpp/results/paper2_3_data/shockmixing/s3_pervar/field.txt.vtk
shockmixing	s3_pervar_median	field.txt.vtk	4.4	2026-07-05 23:35:31	/home/younglin90/work/claude_code/claudeCFD/cpp/results/paper2_3_data/shockmixing/s3_pervar_median/field.txt.vtk
shockmixing	s3argmin	field.txt.vtk	4.4	2026-07-05 20:41:29	/home/younglin90/work/claude_code/claudeCFD/cpp/results/paper2_3_data/shockmixing/s3argmin/field.txt.vtk
mach3	s1	m3.txt.vtk	8.3	2026-07-05 20:35:23	/home/younglin90/work/claude_code/claudeCFD/cpp/results/paper2_3_data/mach3/s1/m3.txt.vtk
mach3	s2	m3.txt.vtk	8.3	2026-07-05 21:52:55	/home/younglin90/work/claude_code/claudeCFD/cpp/results/paper2_3_data/mach3/s2/m3.txt.vtk
doublemach	s1	dm.txt.vtk	24.0	2026-07-13 16:24:23	/home/younglin90/work/claude_code/claudeCFD/cpp/results/paper2_dmr_papermesh/s1/dm.txt.vtk
doublemach	s2	dm.txt.vtk	24.0	2026-07-13 17:37:14	/home/younglin90/work/claude_code/claudeCFD/cpp/results/paper2_dmr_papermesh/s2/dm.txt.vtk
2cyl_sphere	s1_2cyl	out_t0.1000.vtk	165.4	2026-07-13 00:55:33	/home/younglin90/work/claude_code/claudeCFD/cpp/results/paper2_3d_final/s1_2cyl/out_t0.1000.vtk
