x,y,z,g,g0
0.00986842,0.00328947,0.348684,-6.240116e-35,0
0.00328947,0.00986842,0.348684,-8.735871e-35,0
0.00657895,0.00328947,0.351974,2.598705e-34,0
0.00328947,0.00657895,0.351974,2.355949e-34,0
0.0230263,0.00328947,0.348684,-1.392091e-33,0
0.0164474,0.00986842,0.348684,-7.342882e-33,0
0.0197368,0.00328947,0.351974,3.215376e-33,0
0.0164474,0.00657895,0.351974,-4.106711e-33,0
0.0361842,0.00328947,0.348684,-3.326483e-32,0
0.0296053,0.00986842,0.348684,5.016512e-31,0
0.0328947,0.00328947,0.351974,-7.068244e-31,0
0.0296053,0.00657895,0.351974,-8.349362e-31,0
0.0493421,0.00328947,0.348684,1.597331e-31,0
0.0427632,0.00986842,0.348684,1.90859e-29,0
0.0460526,0.00328947,0.351974,-1.529258e-29,0
0.0427632,0.00657895,0.351974,-7.228142e-30,0
0.0625,0.00328947,0.348684,1.405908e-29,0
0.0559211,0.00986842,0.348684,-4.955209e-29,0
0.0592105,0.00328947,0.351974,9.353105e-29,0
0.0559211,0.00657895,0.351974,2.089852e-28,0
0.0756579,0.00328947,0.348684,2.446192e-28,0
0.0690789,0.00986842,0.348684,-4.225355e-27,0
0.0723684,0.00328947,0.351974,3.907972e-27,0
0.0690789,0.00657895,0.351974,3.394656e-27,0
0.0888158,0.00328947,0.348684,1.66424e-27,0
0.0822368,0.00986842,0.348684,-3.29141e-26,0
0.0855263,0.00328947,0.351974,2.809694e-26,0
0.0822368,0.00657895,0.351974,1.128964e-26,0
0.101974,0.00328947,0.348684,-2.611313e-27,0
0.0953947,0.00986842,0.348684,1.839542e-26,0
0.0986842,0.00328947,0.351974,-6.167314e-27,0
0.0953947,0.00657895,0.351974,-9.645248e-26,0
0.115132,0.00328947,0.348684,-1.304076e-25,0
0.108553,0.00986842,0.348684,1.447955e-24,0
0.111842,0.00328947,0.351974,-1.244428e-24,0
0.108553,0.00657895,0.351974,-1.183295e-24,0
0.128289,0.00328947,0.348684,-9.142563e-25,0
0.121711,0.00986842,0.348684,9.763758e-24,0
0.125,0.00328947,0.351974,-8.436149e-24,0
0.121711,0.00657895,0.351974,-4.630265e-24,0
0.141447,0.00328947,0.348684,-2.42042e-24,0
0.134868,0.00986842,0.348684,2.489079e-23,0
0.138158,0.00328947,0.351974,-2.006558e-23,0
0.134868,0.00657895,0.351974,-6.191551e-25,0
0.154605,0.00328947,0.348684,2.168344e-24,0
0.148026,0.00986842,0.348684,-5.101747e-23,0
0.151316,0.00328947,0.351974,3.534079e-23,0
0.148026,0.00657895,0.351974,5.253907e-23,0
0.167763,0.00328947,0.348684,3.668889e-23,0
0.161184,0.00986842,0.348684,-4.326743e-22,0
0.164474,0.00328947,0.351974,3.158692e-22,0
0.161184,0.00657895,0.351974,1.970416e-22,0
0.180921,0.00328947,0.348684,1.385404e-22,0
0.174342,0.00986842,0.348684,-1.237792e-21,0
0.177632,0.00328947,0.351974,9.258534e-22,0
0.174342,0.00657895,0.351974,3.437971e-22,0
0.194079,0.00328947,0.348684,2.950887e-22,0
0.1875,0.00986842,0.348684,-1.707597e-21,0
0.190789,0.00328947,0.351974,1.385784e-21,0
0.1875,0.00657895,0.351974,3.972068e-23,0
0.207237,0.00328947,0.348684,3.048555e-22,0
0.200658,0.00986842,0.348684,5.957182e-22,0
0.203947,0.00328947,0.351974,-3.025183e-23,0
0.200658,0.00657895,0.351974,-1.376633e-21,0
0.220395,0.00328947,0.348684,-2.789968e-22,0
0.213816,0.00986842,0.348684,8.480668e-21,0
0.217105,0.00328947,0.351974,-5.406492e-21,0
0.213816,0.00657895,0.351974,-3.588422e-21,0
0.233553,0.00328947,0.348684,-1.818831e-21,0
0.226974,0.00986842,0.348684,2.101108e-20,0
0.230263,0.00328947,0.351974,-1.409034e-20,0
0.226974,0.00657895,0.351974,-4.975725e-21,0
0.246711,0.00328947,0.348684,-4.407874e-21,0
0.240132,0.00986842,0.348684,3.356128e-20,0
0.243421,0.00328947,0.351974,-2.345254e-20,0
0.240132,0.00657895,0.351974,-3.877297e-21,0
0.259868,0.00328947,0.348684,-7.879811e-21,0
0.253289,0.00986842,0.348684,3.990128e-20,0
0.256579,0.00328947,0.351974,-2.940945e-20,0
0.253289,0.00657895,0.351974,-5.897517e-23,0
0.273026,0.00328947,0.348684,-1.12864e-20,0
0.266447,0.00986842,0.348684,3.750538e-20,0
0.269737,0.00328947,0.351974,-3.062461e-20,0
0.266447,0.00657895,0.351974,5.093776e-21,0
0.286184,0.00328947,0.348684,-1.221142e-20,0
0.279605,0.00986842,0.348684,2.514492e-20,0
0.282895,0.00328947,0.351974,-2.432127e-20,0
0.279605,0.00657895,0.351974,1.000744e-20,0
0.299342,0.00328947,0.348684,-1.017269e-20,0
0.292763,0.00986842,0.348684,1.273616e-21,0
0.296053,0.00328947,0.351974,-1.025133e-20,0
0.292763,0.00657895,0.351974,1.25737e-20,0
0.3125,0.00328947,0.348684,-6.830422e-21,0
0.305921,0.00986842,0.348684,-2.737486e-20,0
0.309211,0.00328947,0.351974,5.07555e-21,0
0.305921,0.00657895,0.351974,1.199903e-20,0
0.325658,0.00328947,0.348684,-3.415204e-21,0
0.319079,0.00986842,0.348684,-5.054509e-20,0
0.322368,0.00328947,0.351974,1.850441e-20,0
0.319079,0.00657895,0.351974,9.352146e-21,0
0.338816,0.00328947,0.348684,-1.210026e-21,0
0.332237,0.00986842,0.348684,-6.484799e-20,0
0.335526,0.00328947,0.351974,2.641318e-20,0
0.332237,0.00657895,0.351974,4.951198e-21,0
0.351974,0.00328947,0.348684,-5.404447e-22,0
0.345395,0.00986842,0.348684,-6.773119e-20,0
0.348684,0.00328947,0.351974,2.732982e-20,0
0.345395,0.00657895,0.351974,6.204715e-22,0
0.365132,0.00328947,0.348684,-1.03256e-21,0
0.358553,0.00986842,0.348684,-6.313426e-20,0
0.361842,0.00328947,0.351974,2.33518e-20,0
0.358553,0.00657895,0.351974,-2.235806e-21,0
0.378289,0.00328947,0.348684,-2.503298e-21,0
0.371711,0.00986842,0.348684,-5.179306e-20,0
0.375,0.00328947,0.351974,1.608278e-20,0
0.371711,0.00657895,0.351974,-3.409148e-21,0
0.391447,0.00328947,0.348684,-4.29756e-21,0
0.384868,0.00986842,0.348684,-3.645691e-20,0
0.388158,0.00328947,0.351974,6.672567e-21,0
0.384868,0.00657895,0.351974,-2.630038e-21,0
0.404605,0.00328947,0.348684,-5.479055e-21,0
0.398026,0.00986842,0.348684,-1.912991e-20,0
0.401316,0.00328947,0.351974,-2.650131e-21,0
0.398026,0.00657895,0.351974,2.552718e-22,0
0.417763,0.00328947,0.348684,-5.782846e-21,0
0.411184,0.00986842,0.348684,-1.848363e-21,0
0.414474,0.00328947,0.351974,-9.816663e-21,0
0.411184,0.00657895,0.351974,4.014502e-21,0
0.430921,0.00328947,0.348684,-4.876781e-21,0
0.424342,0.00986842,0.348684,1.111543e-20,0
0.427632,0.00328947,0.351974,-1.239757e-20,0
0.424342,0.00657895,0.351974,7.027232e-21,0
0.444079,0.00328947,0.348684,-3.395248e-21,0
0.4375,0.00986842,0.348684,1.586208e-20,0
0.440789,0.00328947,0.351974,-1.062603e-20,0
0.4375,0.00657895,0.351974,7.540096e-21,0
0.457237,0.00328947,0.348684,-1.941633e-21,0
0.450658,0.00986842,0.348684,1.395384e-20,0
0.453947,0.00328947,0.351974,-6.794449e-21,0
0.450658,0.00657895,0.351974,5.833367e-21,0
0.470395,0.00328947,0.348684,-9.149234e-22,0
0.463816,0.00986842,0.348684,9.17769e-21,0
0.467105,0.00328947,0.351974,-3.148373e-21,0
