x,y,z,g,g0
0.00649351,0.00324675,0.347403,-8.24373e-23,0
0.00324675,0.00649351,0.347403,8.220932e-23,0
0.0194805,0.00324675,0.347403,3.81808e-22,0
0.0162338,0.00649351,0.347403,8.44644e-21,0
0.0324675,0.00324675,0.347403,1.599174e-20,0
0.0292208,0.00649351,0.347403,6.642539e-20,0
0.0454545,0.00324675,0.347403,5.448202e-20,0
0.0422078,0.00649351,0.347403,2.262222e-20,0
0.0584416,0.00324675,0.347403,-2.245754e-19,0
0.0551948,0.00649351,0.347403,-1.623814e-18,0
0.0714286,0.00324675,0.347403,-2.869278e-18,0
0.0681818,0.00649351,0.347403,-9.835445e-18,0
0.0844156,0.00324675,0.347403,-1.781139e-17,0
0.0811688,0.00649351,0.347403,-3.461085e-17,0
0.0974026,0.00324675,0.347403,-5.561964e-17,0
0.0941558,0.00649351,0.347403,-7.322726e-17,0
0.11039,0.00324675,0.347403,-1.104544e-16,0
0.107143,0.00649351,0.347403,-9.363554e-17,0
0.123377,0.00324675,0.347403,-1.82367e-16,0
0.12013,0.00649351,0.347403,-9.105956e-17,0
0.136364,0.00324675,0.347403,-2.470681e-16,0
0.133117,0.00649351,0.347403,-7.976657e-17,0
0.149351,0.00324675,0.347403,-2.602459e-16,0
0.146104,0.00649351,0.347403,-5.036592e-17,0
0.162338,0.00324675,0.347403,-2.072017e-16,0
0.159091,0.00649351,0.347403,-8.925112e-18,0
0.175325,0.00324675,0.347403,-8.763758e-17,0
0.172078,0.00649351,0.347403,9.617269e-18,0
0.188312,0.00324675,0.347403,1.123497e-17,0
0.185065,0.00649351,0.347403,4.388609e-18,0
0.201299,0.00324675,0.347403,7.831713e-17,0
0.198052,0.00649351,0.347403,-1.355631e-18,0
0.214286,0.00324675,0.347403,9.508316e-17,0
0.211039,0.00649351,0.347403,-6.327792e-18,0
0.227273,0.00324675,0.347403,8.789953e-17,0
0.224026,0.00649351,0.347403,-1.833133e-17,0
0.24026,0.00324675,0.347403,8.498033e-17,0
0.237013,0.00649351,0.347403,-1.776556e-17,0
0.253247,0.00324675,0.347403,8.514394e-17,0
0.25,0.00649351,0.347403,-1.323649e-17,0
0.266234,0.00324675,0.347403,8.142454e-17,0
0.262987,0.00649351,0.347403,-6.641946e-18,0
0.279221,0.00324675,0.347403,6.333781e-17,0
0.275974,0.00649351,0.347403,7.778031e-18,0
0.292208,0.00324675,0.347403,3.526623e-17,0
0.288961,0.00649351,0.347403,1.543091e-17,0
0.305195,0.00324675,0.347403,1.241647e-17,0
0.301948,0.00649351,0.347403,6.843954e-18,0
0.318182,0.00324675,0.347403,1.471383e-17,0
0.314935,0.00649351,0.347403,-1.066354e-17,0
0.331169,0.00324675,0.347403,4.323011e-17,0
0.327922,0.00649351,0.347403,-2.730499e-17,0
0.344156,0.00324675,0.347403,8.808391e-17,0
0.340909,0.00649351,0.347403,-3.20994e-17,0
0.357143,0.00324675,0.347403,1.14138e-16,0
0.353896,0.00649351,0.347403,-3.284995e-17,0
0.37013,0.00324675,0.347403,7.681321e-17,0
0.366883,0.00649351,0.347403,-2.58087e-17,0
0.383117,0.00324675,0.347403,-1.915616e-17,0
0.37987,0.00649351,0.347403,3.503573e-17,0
0.396104,0.00324675,0.347403,-1.347678e-16,0
0.392857,0.00649351,0.347403,1.63009e-16,0
0.409091,0.00324675,0.347403,-2.234113e-16,0
0.405844,0.00649351,0.347403,2.903775e-16,0
0.422078,0.00324675,0.347403,-2.104117e-16,0
0.418831,0.00649351,0.347403,2.603613e-16,0
0.435065,0.00324675,0.347403,-1.378845e-16,0
0.431818,0.00649351,0.347403,1.270654e-16,0
0.448052,0.00324675,0.347403,-3.061509e-17,0
0.444805,0.00649351,0.347403,-6.675414e-17,0
0.461039,0.00324675,0.347403,5.529016e-17,0
0.457792,0.00649351,0.347403,-2.642464e-16,0
0.474026,0.00324675,0.347403,9.95703e-17,0
0.470779,0.00649351,0.347403,-3.76253e-16,0
0.487013,0.00324675,0.347403,1.41028e-16,0
0.483766,0.00649351,0.347403,-4.916557e-16,0
0.5,0.00324675,0.347403,2.36306e-16,0
0.496753,0.00649351,0.347403,-7.936479e-16,0
0.512987,0.00324675,0.347403,3.841612e-16,0
0.50974,0.00649351,0.347403,-8.338731e-16,0
0.525974,0.00324675,0.347403,4.383657e-16,0
0.522727,0.00649351,0.347403,-4.810645e-16,0
0.538961,0.00324675,0.347403,2.730988e-16,0
0.535714,0.00649351,0.347403,1.697598e-17,0
0.551948,0.00324675,0.347403,-1.994711e-16,0
0.548701,0.00649351,0.347403,4.621735e-16,0
0.564935,0.00324675,0.347403,-1.084988e-15,0
0.561688,0.00649351,0.347403,1.005419e-15,0
0.577922,0.00324675,0.347403,-2.033766e-15,0
0.574675,0.00649351,0.347403,1.618885e-15,0
0.590909,0.00324675,0.347403,-2.798113e-15,0
0.587662,0.00649351,0.347403,1.909605e-15,0
0.603896,0.00324675,0.347403,-3.019215e-15,0
0.600649,0.00649351,0.347403,1.670247e-15,0
0.616883,0.00324675,0.347403,-2.796862e-15,0
0.613636,0.00649351,0.347403,1.619292e-15,0
0.62987,0.00324675,0.347403,-2.029824e-15,0
0.626623,0.00649351,0.347403,9.938272e-16,0
0.642857,0.00324675,0.347403,-1.118906e-15,0
0.63961,0.00649351,0.347403,3.921994e-16,0
0.655844,0.00324675,0.347403,-9.512522e-16,0
0.652597,0.00649351,0.347403,2.578958e-16,0
0.668831,0.00324675,0.347403,-8.574933e-16,0
0.665584,0.00649351,0.347403,1.580869e-16,0
0.681818,0.00324675,0.347403,-6.888661e-16,0
0.678571,0.00649351,0.347403,1.027885e-17,0
0.694805,0.00324675,0.347403,-2.888191e-16,0
0.691558,0.00649351,0.347403,-1.642127e-16,0
0.707792,0.00324675,0.347403,4.066447e-16,0
0.704545,0.00649351,0.347403,-2.782217e-16,0
0.720779,0.00324675,0.347403,1.060867e-15,0
0.717532,0.00649351,0.347403,-2.867335e-16,0
0.733766,0.00324675,0.347403,1.216167e-15,0
0.730519,0.00649351,0.347403,-1.549757e-16,0
0.746753,0.00324675,0.347403,7.965711e-16,0
0.743506,0.00649351,0.347403,-1.265804e-17,0
0.75974,0.00324675,0.347403,1.681906e-16,0
0.756494,0.00649351,0.347403,2.19447e-16,0
0.772727,0.00324675,0.347403,-1.408612e-16,0
0.769481,0.00649351,0.347403,1.307684e-16,0
0.785714,0.00324675,0.347403,-1.862508e-16,0
0.782468,0.00649351,0.347403,5.383456e-17,0
0.798701,0.00324675,0.347403,-9.683212e-17,0
0.795455,0.00649351,0.347403,1.085697e-17,0
0.811688,0.00324675,0.347403,-2.402295e-17,0
0.808442,0.00649351,0.347403,-1.175825e-17,0
0.824675,0.00324675,0.347403,6.470423e-20,0
0.821429,0.00649351,0.347403,-5.987237e-18,0
0.837662,0.00324675,0.347403,4.462826e-18,0
0.834416,0.00649351,0.347403,-3.057997e-18,0
0.850649,0.00324675,0.347403,1.797151e-18,0
0.847403,0.00649351,0.347403,-4.564293e-19,0
0.863636,0.00324675,0.347403,-3.214061e-20,0
0.86039,0.00649351,0.347403,-2.167116e-20,0
0.876623,0.00324675,0.347403,-3.601809e-19,0
0.873377,0.00649351,0.347403,1.798168e-19,0
0.88961,0.00324675,0.347403,-1.068108e-19,0
0.886364,0.00649351,0.347403,3.473674e-20,0
0.902597,0.00324675,0.347403,-7.932578e-21,0
