case,scheme,n,muscl,geom,face,thinc,bvd_sel,recon_sum,wall,wall_spread,recon_spread,geom_spread
config3,s1,3,48.669,38.187,26.995,65.183,4.582,118.434,121.353,53.852809572074875,43.63865106303935,32.971953806269156
config3,s2,3,52.64,12.499,19.926,32.426,4.382,93.154,95.874,6.364603542149075,6.326083689374585,13.417073365869266
doublemach,s1,3,164.131,36.728,53.627,90.356,19.245,273.73199999999997,283.35,30.62431621669313,30.894451507313722,45.13994772380745
doublemach,s2,3,205.83,42.704,63.251,105.956,26.626,338.746,350.3,13.670568084498994,13.591599605604198,14.155582615211696
leveque,s1,3,5.043,8.295,9.205,17.501,1.806,24.35,26.443,23.408841659418375,22.053388090349067,18.288125376732964
leveque,s2,3,5.491,5.171,7.774,12.945,2.032,20.468,22.922,24.19073379286274,24.545632206370925,31.135176948365874
mach3,s1,2,39.166,11.501,14.386,25.888,4.075,69.129,71.421,12.907968244633922,12.671961116174096,15.78993131032085
mach3,s2,2,40.656,9.095,14.915,24.011,4.448,69.11500000000001,71.461,23.377786484935843,23.04854228459812,19.967014843320495
shockmixing,s1,3,30.671,16.915,17.446,34.361,1.857,66.889,,,15.485356336617368,28.152527342595334
shockmixing,s2,3,33.159,6.471,12.39,18.861,2.257,54.276999999999994,,,13.123422444129213,21.99041879153145
shockvortex,s1,3,59.878,20.496,27.2,47.696,4.556,112.13,118.268,7.957351100889507,7.8087933648443775,14.471116315378618
shockvortex,s2,3,57.205,11.408,21.776,33.185,4.958,95.348,101.679,58.04443395391379,46.88299702143724,31.863604488078543
