case,scheme,rep,recon_calls,muscl,thinc,geom,face,bvd_sel,recon_sum,wall
config3,s1,1,1500,72.829,86.411,50.778,35.631,10.877,170.11700000000002,186.705
config3,s1,2,1500,48.669,65.183,38.187,26.995,4.582,118.434,121.353
config3,s1,3,1500,60.489,69.462,41.109,28.352,5.144,135.095,138.108
config3,s2,1,1500,57.009,37.227,14.176,23.051,4.811,99.047,101.976
config3,s2,2,1500,56.75,32.426,12.499,19.926,4.382,93.558,96.32
config3,s2,3,1500,52.64,35.899,13.687,22.211,4.615,93.154,95.874
doublemach,s1,1,1500,164.131,90.356,36.728,53.627,19.245,273.73199999999997,283.35
doublemach,s1,2,1500,209.905,122.038,53.307,68.73,26.357,358.29999999999995,370.124
doublemach,s1,3,1500,203.804,118.22,51.021,67.198,27.013,349.037,360.855
doublemach,s2,1,1500,231.253,122.619,47.291,75.327,30.915,384.787,398.188
doublemach,s2,2,1500,229.815,113.713,48.749,64.964,26.626,370.154,382.393
doublemach,s2,3,1500,205.83,105.956,42.704,63.251,26.96,338.746,350.3
leveque,s1,1,1500,5.043,17.501,8.295,9.205,1.806,24.35,26.443
leveque,s1,2,1500,6.446,20.813,9.812,11.0,2.461,29.72,32.633
leveque,s1,3,1500,5.785,19.954,9.236,10.717,2.386,28.125,30.607
leveque,s2,1,1500,5.491,12.945,5.171,7.774,2.032,20.468,22.922
leveque,s2,2,1500,6.899,15.997,6.781,9.215,2.596,25.492,28.467
leveque,s2,3,1500,5.812,13.543,5.637,7.905,2.139,21.494,24.05
mach3,s1,2,1500,45.223,27.937,13.317,14.619,4.729,77.889,80.64
mach3,s1,3,1500,39.166,25.888,11.501,14.386,4.075,69.129,71.421
mach3,s2,2,1500,52.571,27.3,10.911,16.388,5.174,85.045,88.167
mach3,s2,3,1500,40.656,24.011,9.095,14.915,4.448,69.11500000000001,71.461
shockmixing,s1,1,1500,30.671,34.361,16.915,17.446,1.857,66.889,
shockmixing,s1,2,1500,33.905,40.861,20.64,20.219,2.481,77.24699999999999,
shockmixing,s1,3,1500,31.398,42.738,21.677,21.06,2.323,76.45899999999999,
shockmixing,s2,1,1500,33.159,18.861,6.471,12.39,2.257,54.276999999999994,
shockmixing,s2,2,1500,34.514,21.938,7.894,14.044,2.62,59.071999999999996,
shockmixing,s2,3,1500,38.022,20.809,7.457,13.351,2.569,61.400000000000006,
shockvortex,s1,1,1500,59.878,47.696,20.496,27.2,4.556,112.13,118.268
shockvortex,s1,2,1500,60.23,52.876,22.636,30.239,5.518,118.624,125.035
shockvortex,s1,3,1500,61.279,54.376,23.462,30.914,5.231,120.886,127.679
shockvortex,s2,1,1500,86.146,44.078,15.043,29.035,9.826,140.04999999999998,160.698
shockvortex,s2,2,1500,73.612,34.22,12.174,22.046,5.275,113.107,120.153
shockvortex,s2,3,1500,57.205,33.185,11.408,21.776,4.958,95.348,101.679
