case,scheme,rep,hllc,flux,cells,p_min,steps,wall,recon_stage,prim,fluxms,mood,asm,recon_sum,lsq,celld,facebvd,newton_iters,solves
2cyl,s1,1,True,1,1864800,0.9998,100,453.9,313942,725,9375,113993,4029,275594,67275,94085,114235,5.17,371206082
2cyl,s1,2,True,1,1864800,0.9998,100,455.0,314782,712,9177,112201,3909,271356,63965,92989,114401,5.17,371206082
2cyl,s2,1,True,1,1864800,0.9996,100,378.9,232621,765,9192,120104,3934,193574,67291,29807,96476,0.0,0
2cyl,s2,2,True,1,1864800,0.9996,100,390.5,243737,657,9495,118175,4332,203786,70115,31104,102567,0.0,0
deform,s1,1,False,-1,2633856,,100,229.2,143006,0,0,0,0,143006,80231,27607,35167,5.3,103731634
deform,s1,2,False,-1,2633856,,100,240.5,151014,0,0,0,0,151014,85329,28804,36881,5.3,103731634
deform,s2,1,False,-1,2633856,,100,202.4,114577,0,0,0,0,114577,74743,8970,30864,0.0,0
deform,s2,2,False,-1,2633856,,100,208.6,120692,0,0,0,0,120692,80972,9072,30648,0.0,0
sphere,s1,1,True,1,1687500,1.0,100,389.7,263881,592,8294,102692,3464,229237,69472,65708,94057,5.27,236655872
sphere,s1,2,True,1,1687500,1.0,100,395.9,273314,564,8405,98628,3601,236918,73971,66975,95971,5.27,236655872
sphere,s2,1,True,1,1687500,0.9998,100,346.6,213742,645,8687,108692,3786,175871,60965,27611,87295,0.0,0
sphere,s2,2,True,1,1687500,0.9998,100,380.2,247891,605,8093,108472,3495,210794,98815,26435,85544,0.0,0
