case,scheme,nrep,muscl_s,geom_s,face_s,thinc_s,bvd_sel_s,recon_sum_s,recon_spread_pct,solver_wall_s,solver_wall_min_s,solver_wall_spread_pct,app_total_s,recon_frac_pct,walls_all_reps,loadavg_before,loadavg_after
leveque,s1,3,5.785,9.236,10.717,19.954,2.386,28.125,19.60,30.607,26.443,20.71,47.083,91.9,rep1=26.443;rep2=32.633;rep3=30.607,16.39 15.00 13.19 20/1380 2537694,32.06 28.25 27.91 23/1397 3429423
leveque,s2,3,5.812,5.637,7.905,13.543,2.139,21.494,22.34,24.050,22.922,22.05,40.422,89.4,rep1=22.922;rep2=28.467;rep3=24.050,26.76 33.57 30.29 23/1435 2722368,28.08 27.55 28.25 21/1361 3760591
shockmixing,s1,3,31.398,20.640,20.219,40.861,2.323,76.459,14.09,82.600,72.200,14.70,nan,92.6,rep1=72.200;rep2=83.900;rep3=82.600,21.48 16.41 13.74 19/1380 2587725,33.96 29.84 28.50 13/1509 3482917
shockmixing,s2,3,34.514,7.457,13.351,20.809,2.569,59.072,12.23,66.000,60.400,12.02,nan,89.5,rep1=60.400;rep2=66.000;rep3=68.200,27.74 33.00 30.24 12/1383 2722655,28.97 28.03 28.37 11/1361 3761468
shockvortex,s1,3,60.230,22.636,30.239,52.876,5.231,118.624,7.47,125.035,118.268,7.61,nan,94.9,rep1=118.268;rep2=125.035;rep3=127.679,25.30 18.52 14.67 18/1386 2590427,34.64 31.27 29.18 25/1399 3531129
shockvortex,s2,3,73.612,12.174,22.046,34.220,5.275,113.107,38.48,120.153,101.679,46.29,nan,94.1,rep1=160.698;rep2=120.153;rep3=101.679,30.76 32.81 30.34 24/1381 2724363,30.08 28.78 28.61 25/1379 3764090
mach3,s1,2,42.194,12.409,14.502,26.913,4.402,73.509,11.92,76.031,71.421,12.13,134.508,96.7,rep2=80.640;rep3=71.421,26.15 29.97 32.16 21/1387 2897066,27.43 29.47 28.78 24/1392 3565437
mach3,s2,2,46.614,10.003,15.652,25.655,4.811,77.080,20.67,79.814,71.461,20.93,131.811,96.6,rep2=88.167;rep3=71.461,26.71 26.15 27.88 26/1370 3225987,30.30 29.63 28.97 22/1371 3765145
config3,s1,3,60.489,41.109,28.352,69.462,5.144,135.095,36.60,138.108,121.353,43.94,138.341,97.8,rep1=186.705;rep2=121.353;rep3=138.108,67.55 45.44 27.00 85/1459 2607141,28.45 29.62 28.96 21/1510 3651971
config3,s2,3,56.750,13.687,22.211,35.899,4.615,93.558,6.19,96.320,95.874,6.22,96.519,97.1,rep1=101.976;rep2=96.320;rep3=95.874,33.63 33.61 31.35 33/1391 2732893,28.30 29.29 28.93 24/1379 3766696
doublemach,s1,3,203.804,51.021,67.198,118.220,26.357,349.037,25.86,360.855,283.350,25.66,361.681,96.7,rep1=283.350;rep2=370.124;rep3=360.855,42.64 51.72 33.41 17/1357 2640121,25.41 27.14 28.16 10/1360 3759833
doublemach,s2,3,229.815,47.291,64.964,113.713,26.960,370.154,12.63,382.393,350.300,12.70,383.001,96.8,rep1=398.188;rep2=382.393;rep3=350.300,39.93 35.82 32.39 30/1373 2733473,30.52 29.73 29.25 28/1440 3810194
