x,y,z,g,g0
0.00986842,0.00328947,0.348684,3.579277e-23,0
0.00328947,0.00986842,0.348684,1.664581e-22,0
0.00657895,0.00328947,0.351974,9.892043e-23,0
0.00328947,0.00657895,0.351974,5.626609e-23,0
0.0230263,0.00328947,0.348684,-4.882036e-21,0
0.0164474,0.00986842,0.348684,-1.945704e-21,0
0.0197368,0.00328947,0.351974,4.565127e-22,0
0.0164474,0.00657895,0.351974,-1.410673e-21,0
0.0361842,0.00328947,0.348684,-5.586313e-20,0
0.0296053,0.00986842,0.348684,-1.165253e-20,0
0.0328947,0.00328947,0.351974,-4.48499e-21,0
0.0296053,0.00657895,0.351974,-2.871216e-20,0
0.0493421,0.00328947,0.348684,-1.624182e-19,0
0.0427632,0.00986842,0.348684,3.136214e-20,0
0.0460526,0.00328947,0.351974,-4.078804e-20,0
0.0427632,0.00657895,0.351974,-1.325783e-19,0
0.0625,0.00328947,0.348684,-2.600547e-19,0
0.0559211,0.00986842,0.348684,1.116088e-19,0
0.0592105,0.00328947,0.351974,-3.043994e-20,0
0.0559211,0.00657895,0.351974,-1.981737e-19,0
0.0756579,0.00328947,0.348684,-2.179997e-18,0
0.0690789,0.00986842,0.348684,-2.783283e-19,0
0.0723684,0.00328947,0.351974,-1.603771e-19,0
0.0690789,0.00657895,0.351974,-4.400697e-19,0
0.0888158,0.00328947,0.348684,-1.059568e-17,0
0.0822368,0.00986842,0.348684,9.675285e-19,0
0.0855263,0.00328947,0.351974,-2.8977e-18,0
0.0822368,0.00657895,0.351974,-2.836462e-18,0
0.101974,0.00328947,0.348684,-2.578828e-17,0
0.0953947,0.00986842,0.348684,9.711986e-18,0
0.0986842,0.00328947,0.351974,-1.103479e-17,0
0.0953947,0.00657895,0.351974,-7.781894e-18,0
0.115132,0.00328947,0.348684,-3.790186e-17,0
0.108553,0.00986842,0.348684,2.310443e-17,0
0.111842,0.00328947,0.351974,-2.040574e-17,0
0.108553,0.00657895,0.351974,-1.097814e-17,0
0.128289,0.00328947,0.348684,-4.072118e-17,0
0.121711,0.00986842,0.348684,2.996632e-17,0
0.125,0.00328947,0.351974,-2.547006e-17,0
0.121711,0.00657895,0.351974,-1.008787e-17,0
0.141447,0.00328947,0.348684,-3.929285e-17,0
0.134868,0.00986842,0.348684,2.734596e-17,0
0.138158,0.00328947,0.351974,-2.789004e-17,0
0.134868,0.00657895,0.351974,-7.910276e-18,0
0.154605,0.00328947,0.348684,-4.067231e-17,0
0.148026,0.00986842,0.348684,2.157884e-17,0
0.151316,0.00328947,0.351974,-3.304211e-17,0
0.148026,0.00657895,0.351974,-8.373831e-18,0
0.167763,0.00328947,0.348684,-4.565943e-17,0
0.161184,0.00986842,0.348684,1.88504e-17,0
0.164474,0.00328947,0.351974,-3.986288e-17,0
0.161184,0.00657895,0.351974,-1.261334e-17,0
0.180921,0.00328947,0.348684,-4.752438e-17,0
0.174342,0.00986842,0.348684,2.052579e-17,0
0.177632,0.00328947,0.351974,-3.975491e-17,0
0.174342,0.00657895,0.351974,-1.654046e-17,0
0.194079,0.00328947,0.348684,-4.10477e-17,0
0.1875,0.00986842,0.348684,2.470166e-17,0
0.190789,0.00328947,0.351974,-3.577433e-17,0
0.1875,0.00657895,0.351974,-1.66796e-17,0
0.207237,0.00328947,0.348684,-1.599849e-17,0
0.200658,0.00986842,0.348684,2.110893e-17,0
0.203947,0.00328947,0.351974,-2.776166e-17,0
0.200658,0.00657895,0.351974,-1.059204e-17,0
0.220395,0.00328947,0.348684,2.354632e-17,0
0.213816,0.00986842,0.348684,-3.557898e-18,0
0.217105,0.00328947,0.351974,-1.223939e-17,0
0.213816,0.00657895,0.351974,2.509474e-18,0
0.233553,0.00328947,0.348684,4.827978e-17,0
