shape,axis,bin_lo,bin_hi,metric,n,median,rms,p90,p99,max
tet,smax,0,0.25,errC_gauss,38,1.792597e-03,2.919067e-03,4.517052e-03,7.604642e-03,7.757714e-03
tet,smax,0,0.25,errC_prod,38,7.542754e-04,1.459264e-03,2.122777e-03,4.544646e-03,4.724535e-03
tet,smax,0,0.25,refconv_C,38,6.053769e-12,1.947866e-09,1.220912e-09,7.289377e-09,7.736099e-09
tet,smax,0.25,0.35355,errC_gauss,118,1.605033e-03,2.480369e-03,4.087143e-03,7.618395e-03,8.373920e-03
tet,smax,0.25,0.35355,errC_prod,118,7.533091e-04,1.548974e-03,1.815914e-03,6.275958e-03,7.352099e-03
tet,smax,0.25,0.35355,refconv_C,118,6.411545e-12,9.508072e-09,6.299686e-10,5.512991e-08,7.733745e-08
tet,smax,0.35355,0.5,errC_gauss,560,1.721690e-03,3.210112e-03,4.300296e-03,1.176132e-02,1.560871e-02
tet,smax,0.35355,0.5,errC_prod,560,7.294258e-04,1.491444e-03,2.123108e-03,5.175648e-03,7.975134e-03
tet,smax,0.35355,0.5,refconv_C,560,8.569784e-12,2.801564e-08,6.959912e-10,7.749776e-08,4.592784e-07
tet,smax,0.5,0.70711,errC_gauss,3340,1.598253e-03,3.075088e-03,4.027057e-03,1.164159e-02,2.871159e-02
tet,smax,0.5,0.70711,errC_prod,3340,2.802976e-04,1.285926e-03,1.736207e-03,5.140320e-03,1.291362e-02
tet,smax,0.5,0.70711,refconv_C,3340,1.864620e-13,1.590501e-07,4.735151e-10,7.141111e-08,5.094499e-06
tet,smax,0.70711,1,errC_gauss,12881,2.112296e-03,3.729202e-03,4.826360e-03,1.292862e-02,4.552068e-02
tet,smax,0.70711,1,errC_prod,12881,3.043831e-04,1.283974e-03,1.697873e-03,5.449094e-03,1.387748e-02
tet,smax,0.70711,1,refconv_C,12881,2.151057e-13,4.290358e-07,5.021889e-10,9.432921e-08,3.758194e-05
tet,smax,1,1.41421,errC_gauss,28710,3.006109e-03,5.270038e-03,7.533310e-03,1.647760e-02,7.097341e-02
tet,smax,1,1.41421,errC_prod,28710,4.426386e-04,1.694873e-03,2.223690e-03,7.270052e-03,3.101710e-02
tet,smax,1,1.41421,refconv_C,28710,4.862361e-12,9.741175e-07,2.424458e-09,3.666450e-07,4.514954e-05
tet,smax,1.41421,2,errC_gauss,47504,4.446976e-03,8.052140e-03,1.236619e-02,2.427899e-02,8.813105e-02
tet,smax,1.41421,2,errC_prod,47504,7.266350e-04,2.393508e-03,3.353400e-03,9.729246e-03,3.677735e-02
tet,smax,1.41421,2,refconv_C,47504,2.157760e-10,2.476959e-06,2.516409e-08,1.831065e-06,2.030429e-04
tet,smax,2,2.82843,errC_gauss,68735,6.299188e-03,1.228375e-02,1.960034e-02,3.815586e-02,1.008425e-01
tet,smax,2,2.82843,errC_prod,68735,1.163882e-03,3.486622e-03,5.063668e-03,1.397855e-02,4.153076e-02
tet,smax,2,2.82843,refconv_C,68735,4.927758e-09,5.973038e-06,2.654557e-07,9.414160e-06,5.464255e-04
tet,smax,2.82843,4,errC_gauss,92761,9.182237e-03,1.780033e-02,2.924827e-02,5.449593e-02,1.409032e-01
tet,smax,2.82843,4,errC_prod,92761,2.055034e-03,5.097378e-03,7.876004e-03,1.863561e-02,4.779491e-02
tet,smax,2.82843,4,refconv_C,92761,9.026081e-08,1.240993e-05,2.300837e-06,3.536135e-05,7.991616e-04
tet,smax,4,5.65685,errC_gauss,130595,1.304567e-02,2.473751e-02,4.136567e-02,7.444603e-02,1.877706e-01
tet,smax,4,5.65685,errC_prod,130595,3.560941e-03,7.556990e-03,1.224798e-02,2.501021e-02,6.375878e-02
tet,smax,4,5.65685,refconv_C,130595,9.449721e-07,2.222490e-05,1.274419e-05,8.229386e-05,1.161862e-03
tet,smax,5.65685,8,errC_gauss,163084,1.646220e-02,3.291329e-02,5.625516e-02,9.719058e-02,2.097433e-01
tet,smax,5.65685,8,errC_prod,163084,5.738721e-03,1.120679e-02,1.855493e-02,3.533401e-02,8.809276e-02
tet,smax,5.65685,8,refconv_C,163084,5.413581e-06,4.484561e-05,4.802876e-05,1.785207e-04,1.411133e-03
tet,smax,8,11.3137,errC_gauss,148501,1.979725e-02,4.074089e-02,7.020613e-02,1.186350e-01,2.367037e-01
tet,smax,8,11.3137,errC_prod,148501,8.695497e-03,1.574784e-02,2.621070e-02,4.801826e-02,8.820730e-02
tet,smax,8,11.3137,refconv_C,148501,2.254277e-05,1.001844e-04,1.449915e-04,3.857023e-04,2.017853e-03
tet,smax,11.3137,16,errC_gauss,114304,2.561027e-02,5.280545e-02,9.064767e-02,1.539324e-01,2.500144e-01
tet,smax,11.3137,16,errC_prod,114304,1.209151e-02,2.083834e-02,3.452134e-02,6.293043e-02,1.049759e-01
tet,smax,11.3137,16,refconv_C,114304,6.611203e-05,2.308150e-04,3.619323e-04,8.531784e-04,3.084939e-03
tet,smax,16,22.6274,errC_gauss,81532,3.599177e-02,7.129095e-02,1.234127e-01,2.025804e-01,2.974298e-01
tet,smax,16,22.6274,errC_prod,81532,1.522286e-02,2.667820e-02,4.433118e-02,8.159521e-02,1.477494e-01
tet,smax,16,22.6274,refconv_C,81532,1.407481e-04,4.565017e-04,7.432707e-04,1.657716e-03,4.935086e-03
tet,smax,22.6274,32,errC_gauss,50709,4.732399e-02,9.383358e-02,1.647763e-01,2.532303e-01,3.404155e-01
tet,smax,22.6274,32,errC_prod,50709,1.805856e-02,3.232102e-02,5.423750e-02,9.690708e-02,1.884626e-01
tet,smax,22.6274,32,refconv_C,50709,2.547330e-04,8.095013e-04,1.327044e-03,2.911362e-03,6.913099e-03
tet,smax,32,45.2548,errC_gauss,28174,5.980176e-02,1.171438e-01,2.056554e-01,3.067664e-01,3.864185e-01
tet,smax,32,45.2548,errC_prod,28174,2.439647e-02,4.460435e-02,7.297442e-02,1.327809e-01,3.166170e-01
tet,smax,32,45.2548,refconv_C,28174,3.921179e-04,1.290143e-03,2.134143e-03,4.643062e-03,9.815110e-03
tet,smax,45.2548,64,errC_gauss,15025,6.972345e-02,1.361103e-01,2.406260e-01,3.331256e-01,4.112059e-01
tet,smax,45.2548,64,errC_prod,15025,3.475433e-02,7.173651e-02,1.188994e-01,2.210370e-01,4.391838e-01
tet,smax,45.2548,64,refconv_C,15025,5.686732e-04,1.881074e-03,3.056379e-03,6.862435e-03,1.393770e-02
tet,smax,64,-1,errC_gauss,13429,8.261033e-02,1.559993e-01,2.781831e-01,3.612814e-01,4.501275e-01
tet,smax,64,-1,errC_prod,13429,5.321912e-02,1.988500e-01,3.096184e-01,7.942906e-01,1.322842e+00
tet,smax,64,-1,refconv_C,13429,8.603540e-04,3.042166e-03,4.737982e-03,1.165557e-02,2.544970e-02
hex,smax,0.25,0.35355,errC_gauss,118,7.163745e-04,8.851093e-04,1.371149e-03,1.587200e-03,1.647132e-03
hex,smax,0.25,0.35355,errC_prod,118,4.694688e-05,8.141682e-05,1.437498e-04,1.586991e-04,1.630978e-04
hex,smax,0.25,0.35355,refconv_C,118,7.438494e-15,1.047620e-14,1.654232e-14,2.680411e-14,3.264056e-14
