N	n_cells	h	n_steps	wall_s	TOTAL	slot	cone	hump	range_min	range_max	over	under	drift
25	2500	4.000000e-02	775	21.91	4.982798e-02	2.409212e-01	4.001462e-02	4.611352e-02	-5.663694e-02	8.369504e-01	-1.630496e-01	5.663694e-02	1.315474e-04
50	10000	2.000000e-02	1561	156.46	3.411847e-02	1.616690e-01	3.606636e-02	2.838386e-02	-1.230583e-02	9.223521e-01	-7.764787e-02	1.230583e-02	2.019904e-05
100	40000	1.000000e-02	3132	1395.63	2.008128e-02	9.797978e-02	1.893189e-02	1.772022e-02	-4.879460e-03	1.002377e+00	2.376631e-03	4.879460e-03	1.233265e-08

# adjacent pair rates p = log(e_N0/e_N1)/log(N1/N0)
# rate_25_50	TOTAL=0.546	slot=0.576	cone=0.150	hump=0.700
# rate_50_100	TOTAL=0.765	slot=0.722	cone=0.930	hump=0.680

# convergence rates (L1 ~ h^p)
# rate_L1_total	0.656
# rate_L1_slot	0.649
# rate_L1_cone	0.540
# rate_L1_hump	0.690
