i	x	rho	rho_exact	u	u_exact	p	p_exact	psi
322	0.80625000	737.287389862	736.059001528	573.996317199	577.631214692	24213552.4261	20235463.7949	1.0000000021e-06
323	0.80875000	737.260963823	736.059001528	574.006576002	577.631214692	24209374.21	20235463.7949	1.00000000276e-06
324	0.81125000	737.21265058	736.059001528	573.953387601	577.631214692	24262459.2767	20235463.7949	1.00000000356e-06
325	0.81375000	737.032437792	736.059001528	573.864208462	577.631214692	24344858.3061	20235463.7949	1.00000000449e-06
326	0.81625000	736.384399558	736.059001528	573.82034679	577.631214692	24405590.4082	20235463.7949	1.00000000559e-06
327	0.81875000	734.76078189	736.059001528	573.814268401	577.631214692	24421301.1305	20235463.7949	1.00000000686e-06
328	0.82125000	732.862892809	736.059001528	573.936876854	577.631214692	24322384.5005	20235463.7949	1.00000000812e-06
329	0.82375000	731.89799488	736.059001528	574.032296484	577.631214692	24158217.9143	20235463.7949	1.00000044349e-06
330	0.82625000	731.976895992	736.059001528	573.940554824	577.631214692	24144256.6261	20235463.7949	1.02398422674e-06
331	0.82875000	731.976895992	736.059001528	573.024684086	577.631214692	23731794.1555	20235463.7949	0.00125941952316
332	0.83125000	429.003784492	736.059001528	582.298569174	577.631214692	26010068.9788	20235463.7949	0.728763674584
333	0.83375000	289.826365277	291.600858914	585.216154497	577.631214692	25050976.647	20235463.7949	0.999999
334	0.83625000	290.398067138	291.600858914	586.77646558	577.631214692	24663619.1612	20235463.7949	0.999999
335	0.83875000	290.977265913	291.600858914	587.266218882	577.631214692	24488229.0124	20235463.7949	0.999999
336	0.84125000	291.270285153	291.600858914	587.21932937	577.631214692	24393753.7616	20235463.7949	0.999999
337	0.84375000	291.266934863	291.600858914	587.312994009	577.631214692	24332500.2317	20235463.7949	0.999999
338	0.84625000	291.266934863	291.600858914	586.925803707	577.631214692	24236712.2503	20235463.7949	0.999999
339	0.84875000	291.015942821	291.600858914	585.034459972	577.631214692	24014237.0257	20235463.7949	0.999999
340	0.85125000	289.196285831	291.600858914	584.200043917	577.631214692	23974778.4928	20235463.7949	0.999999
341	0.85375000	288.918066436	291.600858914	586.019514764	577.631214692	24113915.7002	20235463.7949	0.999999
342	0.85625000	291.60640067	291.600858914	586.019514764	577.631214692	24050726.6669	20235463.7949	0.999999
343	0.85875000	292.128501824	291.600858914	508.818037095	577.631214692	19886580.6056	20235463.7949	0.999999
344	0.86125000	161.886403776	50	292.806373724	0	3940371.59859	100000	0.999999
345	0.86375000	54.6963690245	50	30.9578251215	0	106931.639847	100000	0.999999
346	0.86625000	50.0034699551	50	0.0988805120017	0	100662.106977	100000	0.999999
347	0.86875000	50.0014512686	50	1.16761777714e-05	0	100001.094533	100000	0.999999
348	0.87125000	50.001447568	50	-2.50059618405e-07	0	99999.9805046	100000	0.999999
349	0.87375000	50.0014476271	50	-6.97937032626e-08	0	99999.999967	100000	0.999999
350	0.87625000	50.0014476949	50	-8.96969525433e-12	0	99999.9999989	100000	0.999999
351	0.87875000	50.0014476949	50	1.88720226294e-13	0	100000	100000	0.999999
352	0.88125000	50.0014476949	50	8.71495891459e-15	0	100000	100000	0.999999
353	0.88375000	50.0014476949	50	-3.07968672188e-18	0	100000	100000	0.999999
