x,alpha1_ref,rho_ref,u_ref,p_ref
6.250000000000000130e-04,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.874999999999999931e-03,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
3.125000000000000173e-03,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
4.375000000000000416e-03,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
5.624999999999999792e-03,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
6.875000000000000035e-03,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
8.125000000000000278e-03,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
9.374999999999999653e-03,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.062500000000000076e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.187500000000000014e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.312499999999999951e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.437500000000000062e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.562500000000000000e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.687500000000000111e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.812499999999999875e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.937499999999999986e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.062500000000000097e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.187500000000000208e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.312499999999999972e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.437500000000000083e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.562500000000000194e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.687499999999999958e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.812500000000000069e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
2.937500000000000180e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
3.062499999999999944e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
3.187500000000000056e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
3.312500000000000167e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
3.437500000000000278e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
3.562500000000000389e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
3.687499999999999806e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
3.812499999999999917e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
3.937500000000000028e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
4.062500000000000139e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
4.187500000000000250e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
4.312500000000000361e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
4.437499999999999778e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
4.562499999999999889e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
4.687500000000000000e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
4.812500000000000111e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
4.937500000000000222e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
5.062500000000000333e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
5.187500000000000444e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
5.312499999999999861e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
5.437499999999999972e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
5.562500000000000083e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
5.687500000000000194e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
5.812500000000000305e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
5.937500000000000416e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
6.062499999999999833e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
6.187499999999999944e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
6.312500000000000056e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
6.437500000000000167e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
6.562500000000000278e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
6.687500000000000389e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
6.812500000000000500e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
6.937500000000000611e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
7.062500000000000722e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
7.187500000000000833e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
7.312499999999999556e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
7.437499999999999667e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
7.562499999999999778e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
7.687499999999999889e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
7.812500000000000000e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
7.937500000000000111e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
8.062500000000000222e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
8.187500000000000333e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
8.312500000000000444e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
8.437500000000000555e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
8.562500000000000666e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
8.687500000000000777e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
8.812499999999999500e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
8.937499999999999611e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
9.062499999999999722e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
9.187499999999999833e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
9.312499999999999944e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
9.437500000000000056e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
9.562500000000000167e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
9.687500000000000278e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
9.812500000000000389e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
9.937500000000000500e-02,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.006250000000000061e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.018750000000000072e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.031250000000000083e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.043749999999999956e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.056249999999999967e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.068749999999999978e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.081249999999999989e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.093750000000000000e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.106250000000000011e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.118750000000000022e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.131250000000000033e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.143750000000000044e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.156250000000000056e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.168750000000000067e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.181250000000000078e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.193750000000000089e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.206249999999999961e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.218749999999999972e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.231249999999999983e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.243749999999999994e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.256250000000000144e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.268750000000000155e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.281249999999999889e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.293749999999999900e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.306249999999999911e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.318749999999999922e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.331249999999999933e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.343749999999999944e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.356249999999999956e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.368749999999999967e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.381249999999999978e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.393749999999999989e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.406250000000000000e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
1.418750000000000011e-01,5.500000000000000028e-02,9.493146330180815085e+02,-1.000000000000000000e+02,9.999999999998258136e+04
