x,alpha1_ref,rho_ref,u_ref,p_ref
5.000000000000000104e-03,0.000000000000000000e+00,1.000000000000000000e+03,-1.000000000000000000e+02,1.000000000000000000e+05
1.499999999999999944e-02,0.000000000000000000e+00,1.000000000000000000e+03,-1.000000000000000000e+02,1.000000000000000000e+05
2.500000000000000139e-02,0.000000000000000000e+00,1.000000000000000000e+03,-1.000000000000000000e+02,1.000000000000000000e+05
3.500000000000000333e-02,0.000000000000000000e+00,1.000000000000000000e+03,-1.000000000000000000e+02,1.000000000000000000e+05
4.499999999999999833e-02,0.000000000000000000e+00,1.000000000000000000e+03,-1.000000000000000000e+02,1.000000000000000000e+05
5.500000000000000028e-02,0.000000000000000000e+00,1.000000000000000000e+03,-1.000000000000000000e+02,1.000000000000000000e+05
6.500000000000000222e-02,0.000000000000000000e+00,1.000000000000000000e+03,-1.000000000000000000e+02,1.000000000000000000e+05
7.499999999999999722e-02,0.000000000000000000e+00,1.000000000000000000e+03,-1.000000000000000000e+02,1.000000000000000000e+05
8.500000000000000611e-02,0.000000000000000000e+00,1.000000000000000000e+03,-1.000000000000000000e+02,1.000000000000000000e+05
9.500000000000000111e-02,0.000000000000000000e+00,1.000000000000000000e+03,-1.000000000000000000e+02,1.000000000000000000e+05
1.049999999999999961e-01,0.000000000000000000e+00,1.000000000000000000e+03,-1.000000000000000000e+02,1.000000000000000000e+05
1.150000000000000050e-01,0.000000000000000000e+00,1.000000000000000000e+03,-1.000000000000000000e+02,1.000000000000000000e+05
1.250000000000000000e-01,0.000000000000000000e+00,1.000000000000000000e+03,-1.000000000000000000e+02,1.000000000000000000e+05
1.350000000000000089e-01,0.000000000000000000e+00,1.000000000000000000e+03,-1.000000000000000000e+02,1.000000000000000000e+05
1.449999999999999900e-01,0.000000000000000000e+00,1.000000000000000000e+03,-1.000000000000000000e+02,1.000000000000000000e+05
1.549999999999999989e-01,0.000000000000000000e+00,1.000000000000000000e+03,-1.000000000000000000e+02,1.000000000000000000e+05
