PROFILE N200_no_mood
x rho exrho psi u exu p exp T
0.7825 735.87077 736.059 1e-06 577.84951 577.63121 20036898 20235464 747.31773
0.7875 735.85146 736.059 1e-06 577.78786 577.63121 20090970 20235464 747.41182
0.7925 735.70605 736.059 1e-06 577.73512 577.63121 20158628 20235464 747.76943
0.7975 735.42654 736.059 1e-06 577.67919 577.63121 20208047 20235464 748.37381
0.8025 735.39651 736.059 1e-06 577.62503 577.63121 20299294 20235464 748.52775
0.8075 735.51585 736.059 1e-06 577.56511 577.63121 20346394 20235464 748.34016
0.8125 736.03588 736.059 1e-06 577.49695 577.63121 20410042 20235464 747.37693
0.8175 737.76549 736.059 1.0000103e-06 577.44622 577.63121 20462674 20235464 744.01878
0.8225 743.01112 736.059 1.5094256e-06 577.41697 577.63121 20492922 20235464 733.79631
0.8275 733.82227 736.059 0.037735765 577.31718 577.63121 20505343 20235464 704.13946
0.8325 121.97854 291.60086 0.99041807 577.97596 577.63121 20600696 20235464 622.18508
0.8375 152.38309 291.60086 0.999999 575.62306 577.63121 20544670 20235464 469.76715
0.8425 190.85703 291.60086 0.999999 568.09486 577.63121 20239393 20235464 369.49559
0.8475 221.96827 291.60086 0.999999 563.57078 577.63121 19839200 20235464 311.42465
0.8525 257.51596 291.60086 0.999999 574.6775 577.63121 20602473 20235464 278.76272
0.8575 313.59675 291.60086 0.999999 608.26723 577.63121 23980275 20235464 266.44146
0.8625 344.61366 50 0.999999 584.52419 0 24124529 100000 243.91889
0.8675 289.21139 50 0.999999 452.13983 0 16468737 100000 198.41036
0.8725 100.99116 50 0.999999 191.30512 0 1609156.9 100000 55.518627
0.8775 50.395281 50 0.999999 5.6006958 0 106855.67 100000 7.3881936
0.8825 50.005203 50 0.999999 0.0041843384 0 100062.78 100000 6.9724924
0.8875 50.001473 50 0.999999 2.4446308e-05 0 99999.918 100000 6.9686319
0.8925 50.001448 50 0.999999 -1.49936e-07 0 100000 100000 6.9686412
0.8975 50.001448 50 0.999999 1.3738676e-09 0 100000 100000 6.9686411
0.9025 50.001448 50 0.999999 8.4349769e-12 0 100000 100000 6.9686411
0.9075 50.001448 50 0.999999 6.9728964e-15 0 100000 100000 6.9686411
0.9125 50.001448 50 0.999999 1.035151e-15 0 100000 100000 6.9686411
0.9175 50.001448 50 0.999999 -3.7625767e-18 0 100000 100000 6.9686411
0.9225 50.001448 50 0.999999 -9.3841975e-19 0 100000 100000 6.9686411
0.9275 50.001448 50 0.999999 1.1338676e-17 0 100000 100000 6.9686411
