PROFILE no_mood
x rho exrho psi u exu p exp T
0.785 734.16132 736.059 1e-06 577.97957 577.63121 19857467 20235464 750.51947
0.795 734.68889 736.059 1e-06 578.12676 577.63121 19811059 20235464 749.42428
0.805 737.71742 736.059 1.0001196e-06 578.26747 577.63121 19749805 20235464 743.37999
0.815 747.64255 736.059 7.4865274e-06 578.35702 577.63121 19728190 20235464 724.08958
0.825 593.81174 736.059 0.26635637 578.14316 577.63121 19578024 20235464 677.29452
0.835 114.67573 291.60086 0.999999 577.05737 577.63121 19350086 20235464 587.9389
0.845 149.58958 291.60086 0.999999 583.17376 577.63121 19769283 20235464 460.47909
0.855 227.98936 291.60086 0.999999 622.79685 577.63121 23007031 20235464 351.61353
0.865 295.5354 50 0.999999 599.271 0 23354883 100000 275.35151
0.875 264.08014 50 0.999999 468.7358 0 18014172 100000 237.68298
0.885 109.23876 50 0.999999 212.2353 0 2239520.3 100000 71.43341
0.895 50.787455 50 0.999999 8.4548558 0 107931.02 100000 7.4049186
0.905 50.003435 50 0.999999 0.0029484381 0 100109.62 100000 6.9760026
0.915 50.001457 50 0.999999 7.5237994e-06 0 99999.775 100000 6.9686242
0.925 50.001447 50 0.999999 -7.1217123e-07 0 99999.999 100000 6.9686411
PROFILE mood
x rho exrho psi u exu p exp T
0.785 735.18344 736.059 1e-06 576.9663 577.63121 20994013 20235464 749.66945
0.795 734.2414 736.059 1e-06 576.99372 577.63121 21035232 20235464 751.58336
0.805 734.20418 736.059 1.0000977e-06 576.82299 577.63121 21230545 20235464 751.86022
0.815 734.17794 736.059 6.1690248e-06 576.66688 577.63121 21421782 20235464 752.10449
0.825 671.73648 736.059 0.24664964 578.04553 577.63121 22073278 20235464 558.5929
0.835 234.15355 291.60086 0.999999 573.68251 577.63121 20818291 20235464 309.78754
0.845 234.15355 291.60086 0.999999 580.04548 577.63121 21777931 20235464 324.06748
0.855 242.99204 291.60086 0.999999 618.64622 577.63121 24700786 20235464 354.19155
0.865 282.52763 50 0.999999 645.05778 0 27196424 100000 335.40546
0.875 290.03203 50 0.999999 566.15231 0 24855765 100000 298.60732
0.885 178.74677 50 0.999999 352.14178 0 7130827.8 100000 139.00246
0.895 58.125982 50 0.999999 52.259784 0 89670.031 100000 5.3753395
0.905 49.990258 50 0.999999 -0.002847065 0 100985.05 100000 7.0388609
0.915 50.002586 50 0.999999 0.0011872056 0 99999.516 100000 6.9684488
0.925 50.001449 50 0.999999 7.0927607e-07 0 99999.987 100000 6.9686401
