iter,phase,residual,lbe_calls,wall_seconds_raw,accepted
0,tail_residual_polish,1.1050738285112235e-05,1101,0.07167053990997374,0
1,tail_residual_polish,8.318295839359341e-06,1202,0.07671904703602195,1
2,tail_residual_polish,4.920241522798721e-06,1303,0.08169848285615444,1
3,tail_residual_polish,4.751711672999894e-06,1404,0.08676918200217187,1
4,tail_residual_polish,5.800358361872836e-06,1505,0.09181563486345112,0
5,tail_residual_polish,5.204257885558949e-06,1606,0.09675968391820788,0
6,tail_residual_polish,3.3861359366333e-06,1707,0.10175528097897768,1
7,tail_residual_polish,2.269059433330504e-06,1808,0.10674868291243911,1
8,tail_residual_polish,2.8091003605573493e-06,1909,0.11177789396606386,0
9,tail_residual_polish,2.9926657583182517e-06,2010,0.11675529601052403,0
10,tail_residual_polish,2.299957763542179e-06,2111,0.12173501285724342,0
11,tail_residual_polish,1.3721144716522347e-06,2212,0.12669962085783482,1
12,tail_residual_polish,1.6958581717524991e-06,2251,0.12864550086669624,0
13,cavity_short_physical_refine,2.3286888761690016e-07,2820,0.23005448700860143,1
14,cavity_short_physical_refine,2.2763608780968672e-07,2969,0.23770169797353446,1
15,cavity_short_physical_refine,2.2266751077805282e-07,3192,0.24885595100931823,1
16,cavity_short_physical_refine,2.2004301586887312e-07,3449,0.26172487693838775,1
17,cavity_short_physical_refine,2.1976189425696292e-07,3517,0.26531072705984116,0
