iter,phase,residual,lbe_calls,wall_seconds_raw,accepted
0,tail_residual_polish,1.1050738285112235e-05,1101,0.07134126895107329,0
1,tail_residual_polish,8.318295839359341e-06,1202,0.07638658815994859,1
2,tail_residual_polish,4.920241522798721e-06,1303,0.0813432689756155,1
3,tail_residual_polish,4.751711672999894e-06,1404,0.08632118999958038,1
4,tail_residual_polish,5.800358361872836e-06,1505,0.09131169505417347,0
5,tail_residual_polish,5.204257885558949e-06,1606,0.09632927202619612,0
6,tail_residual_polish,3.3861359366333e-06,1707,0.10127789713442326,1
7,tail_residual_polish,2.269059433330504e-06,1808,0.1062499179970473,1
8,tail_residual_polish,2.8091003605573493e-06,1909,0.11121757910586894,0
9,tail_residual_polish,2.9926657583182517e-06,2010,0.11624633707106113,0
10,tail_residual_polish,2.299957763542179e-06,2111,0.12123880605213344,0
11,tail_residual_polish,1.3721144716522347e-06,2212,0.1261858290527016,1
12,tail_residual_polish,1.6958581717524991e-06,2251,0.1281439911108464,0
13,cavity_short_physical_refine,2.3286888761690016e-07,2820,0.23438883805647492,1
14,cavity_short_physical_refine,2.2763608780968672e-07,2969,0.24202852207235992,1
15,cavity_short_physical_refine,2.2266751077805282e-07,3192,0.2532263530883938,1
16,cavity_short_physical_refine,2.2004301586887312e-07,3449,0.26613773312419653,1
17,cavity_short_physical_refine,2.1976189425696292e-07,3517,0.2697756611742079,0
