iter,residual,lbe_calls,wall_seconds_raw,wall_seconds,accepted,phase
0,0.0015430721293487085,1,0.0009380129631608725,0.0,1,0
1,0.0002466417361706234,10,0.0015602500643581152,0.0006222371011972427,1,0
2,0.00023134250640618976,14,0.0022688391618430614,0.001330826198682189,1,0
3,0.00020547422050641055,18,0.002843927126377821,0.0019059141632169485,1,0
4,0.0001740056533243241,23,0.0039849241729825735,0.003046911209821701,1,0
5,0.0001638732255845507,28,0.004867663141340017,0.003929650178179145,1,0
6,0.00015132465788244152,33,0.005666743032634258,0.004728730069473386,1,0
7,0.0001373604190014261,38,0.0065205879509449005,0.005582574987784028,1,0
8,0.00013197087039868664,43,0.007283701095730066,0.006345688132569194,1,0
9,0.00012459260809042952,48,0.008087691152468324,0.007149678189307451,1,0
10,0.00012062282149919386,53,0.008870030054822564,0.007932017091661692,1,0
11,0.00011753076776537406,58,0.009620529133826494,0.008682516170665622,1,0
12,0.00011460919267223355,63,0.010438094148412347,0.009500081185251474,1,0
13,0.00011152290363904383,68,0.011232346063479781,0.010294333100318909,1,0
14,0.00010974823142937761,73,0.012029211968183517,0.011091199005022645,1,0
15,0.00010733108853693467,78,0.012818163959309459,0.011880150996148586,1,0
16,0.00010345626805221586,83,0.013558333972468972,0.0126203210093081,1,0
17,0.0001016301881327948,88,0.014367103110998869,0.013429090147837996,1,0
18,9.839883484397928e-05,93,0.01513499510474503,0.014196982141584158,1,0
19,9.618012234271454e-05,98,0.01598501205444336,0.015046999091282487,1,0
20,9.45118775965999e-05,103,0.01682700403034687,0.015888991067185998,1,0
21,9.235567787471139e-05,108,0.01757662114687264,0.016638608183711767,1,0
22,9.059634183724326e-05,113,0.01843640604056418,0.017498393077403307,1,0
23,8.871640449406088e-05,118,0.019212724175304174,0.018274711212143302,1,0
24,8.656867796577026e-05,123,0.019999812124297023,0.01906179916113615,1,0
25,8.411113252191683e-05,128,0.020864546997472644,0.01992653403431177,1,0
26,8.216470452153079e-05,133,0.021618392085656524,0.02068037912249565,1,0
27,8.030421849501755e-05,138,0.022430197102949023,0.02149218413978815,1,0
28,7.814284879720192e-05,143,0.023198568960651755,0.022260555997490883,1,0
29,7.740133911452564e-05,148,0.023987511172890663,0.02304949820972979,1,0
30,5.427542170811924e-05,209,0.02708835410885513,0.026150341145694256,1,0
31,3.8070069589438514e-05,270,0.030112341046333313,0.02917432808317244,1,0
32,3.340451065436897e-05,331,0.03312783199362457,0.032189819030463696,1,0
33,2.3689584512768183e-05,392,0.036190793151035905,0.03525278018787503,1,0
34,2.5630181389076618e-05,453,0.03920386894606054,0.038265855982899666,1,0
35,2.2590334782899352e-05,514,0.04220737796276808,0.041269364999607205,1,0
36,2.3135035086418384e-05,575,0.04521445301361382,0.04427644005045295,1,0
37,2.114039036754085e-05,636,0.04822397301904857,0.0472859600558877,1,0
38,2.009891065727618e-05,697,0.05124073615297675,0.05030272318981588,1,0
39,1.821901112349258e-05,758,0.054321671137586236,0.053383658174425364,1,0
40,1.624953579428341e-05,819,0.05733998795039952,0.056401974987238646,1,0
41,1.3899281715284218e-05,880,0.06037426507100463,0.05943625210784376,1,0
42,1.1832555197964594e-05,941,0.06339721009135246,0.06245919712819159,1,0
43,1.0521883886245763e-05,999,0.06628142204135656,0.06534340907819569,1,0
44,8.318295839359341e-06,1202,0.07638658815994859,0.07544857519678771,1,0
45,4.920241522798721e-06,1303,0.0813432689756155,0.08040525601245463,1,0
46,4.751711672999894e-06,1404,0.08632118999958038,0.08538317703641951,1,0
47,3.3861359366333e-06,1707,0.10127789713442326,0.10033988417126238,1,0
48,2.269059433330504e-06,1808,0.1062499179970473,0.10531190503388643,1,0
49,1.3721144716522347e-06,2212,0.1261858290527016,0.12524781608954072,1,0
50,1.3721144716522347e-06,2254,0.1283995839767158,0.12746157101355493,1,0
51,2.654558620114007e-07,2263,0.13177204015664756,0.1308340271934867,1,0
52,2.629114475471168e-07,2265,0.13305936404503882,0.13212135108187795,1,0
53,2.631732591763805e-07,2270,0.135281004011631,0.13434299104847014,1,0
54,2.63058725533989e-07,2275,0.1377814409788698,0.13684342801570892,1,0
55,2.637827848143813e-07,2280,0.14226338500157,0.14132537203840911,1,0
56,2.644105813877682e-07,2285,0.1433041230775416,0.14236611011438072,1,0
57,2.654803461127116e-07,2290,0.14431779901497066,0.1433797860518098,1,0
58,2.664963304875221e-07,2295,0.14527404704131186,0.144336034078151,1,0
59,2.676647733511447e-07,2300,0.14623238914646208,0.1452943761833012,1,0
60,2.674060217723557e-07,2303,0.1469137470703572,0.14597573410719633,1,0
61,2.6496473258348936e-07,2305,0.14746886608190835,0.14653085311874747,1,0
62,2.6472152146228757e-07,2307,0.14799700514413416,0.1470589921809733,1,0
63,2.6399214273830114e-07,2310,0.1517524451483041,0.15081443218514323,1,0
64,2.643407477894653e-07,2315,0.152823681011796,0.15188566804863513,1,0
65,2.655975679289388e-07,2320,0.15383729711174965,0.15289928414858878,1,0
66,2.663013200429909e-07,2325,0.15482530510053039,0.1538872921373695,1,0
67,2.6586936189389885e-07,2327,0.15538941114209592,0.15445139817893505,1,0
68,2.648549038695501e-07,2330,0.1560898250900209,0.15515181212686002,1,0
69,2.648312461362881e-07,2335,0.15709804208017886,0.15616002911701798,1,0
70,2.655539462842369e-07,2340,0.158027449157089,0.15708943619392812,1,0
71,2.66361836723733e-07,2345,0.1591020911000669,0.15816407813690603,1,0
72,2.6571295267141806e-07,2347,0.1596453080419451,0.15870729507878423,1,0
73,2.655933509862742e-07,2349,0.16022949200123549,0.1592914790380746,1,0
74,2.6403263411387086e-07,2351,0.16081030014902353,0.15987228718586266,1,0
75,2.6473017233525284e-07,2356,0.16175342304632068,0.1608154100831598,1,0
76,2.654235263638241e-07,2361,0.1627432550303638,0.16180524206720293,1,0
77,2.65983269275564e-07,2366,0.16372485016472638,0.1627868372015655,1,0
78,2.6645504426347255e-07,2371,0.16476174094714224,0.16382372798398137,1,0
79,2.667186642087584e-07,2376,0.16569246002472937,0.1647544470615685,1,0
80,2.6530375341974737e-07,2378,0.16628469014540315,0.16534667718224227,1,0
81,2.630912741980515e-07,2381,0.16702543012797832,0.16608741716481745,1,0
82,2.627178146070521e-07,2386,0.16794911702163517,0.1670111040584743,1,0
83,2.6348679752104243e-07,2391,0.1689906760584563,0.16805266309529543,1,0
84,2.6328556474910956e-07,2396,0.16993012209422886,0.168992109131068,1,0
85,2.63523114653477e-07,2401,0.17091371212154627,0.1699756991583854,1,0
86,2.634006714249733e-07,2406,0.17185180610977113,0.17091379314661026,1,0
87,2.6332939499332527e-07,2409,0.17258821800351143,0.17165020504035056,1,0
88,2.624498542669623e-07,2412,0.1732979801017791,0.17235996713861823,1,0
89,2.6214652766301393e-07,2416,0.17411112715490162,0.17317311419174075,1,0
90,2.619808418702548e-07,2419,0.1748150980565697,0.17387708509340882,1,0
91,2.6186301689804564e-07,2422,0.17546508717350662,0.17452707421034575,1,0
92,2.61756835124489e-07,2425,0.1761823131237179,0.17524430016055703,1,0
93,2.617440765501849e-07,2429,0.17707123304717243,0.17613322008401155,1,0
94,2.616992968564038e-07,2434,0.17801089002750814,0.17707287706434727,1,0
95,2.615678628067081e-07,2439,0.1790026139933616,0.17806460103020072,1,0
96,2.6148906602207235e-07,2441,0.1795328869484365,0.17859487398527563,1,0
97,2.606438857798748e-07,2443,0.18004862195812166,0.17911060899496078,1,0
98,2.6117635252151296e-07,2448,0.18106456310488284,0.18012655014172196,1,0
99,2.609965776362024e-07,2451,0.18171287910081446,0.1807748661376536,1,0
100,2.604903958121531e-07,2453,0.1822277819737792,0.18128976901061833,1,0
101,2.589241085292296e-07,2455,0.1828192810062319,0.18188126804307103,1,0
102,2.57478792253655e-07,2457,0.18335900106467307,0.1824209881015122,1,0
103,2.5559357181663967e-07,2459,0.1838856569956988,0.18294764403253794,1,0
104,2.5559186502663105e-07,2461,0.18444576603360474,0.18350775307044387,1,0
105,2.552445075590168e-07,2463,0.18499385216273367,0.1840558391995728,1,0
106,2.545779074770971e-07,2465,0.18554399209097028,0.1846059791278094,1,0
107,2.5429868224873136e-07,2468,0.18619648599997163,0.18525847303681076,1,0
108,2.5409443180521784e-07,2471,0.18688892503269017,0.1859509120695293,1,0
109,2.5376520532936283e-07,2475,0.18773505417630076,0.1867970412131399,1,0
110,2.5371461940799866e-07,2480,0.1887406250461936,0.18780261208303273,1,0
111,2.536866062448278e-07,2484,0.1895561369601637,0.18861812399700284,1,0
