base_case_id,scaling_level,case_id,case_label,method,tol,N,lbe_calls,wall_seconds,final_residual,converged,finite_fields,history_wall_monotone,history_final_consistent,cache_label_picard,cache_label_method,cache_hash_picard,cache_hash_method,channel_core_rel_l2_analytic,channel_full_rel_l2_analytic,channel_rel_l2_vs_tight_picard,channel_core_flux_cv,channel_boundary_flux_imbalance,rel_l2_vs_picard,linf_vs_picard,rms_vs_picard,vel_abs_l2_vs_picard,vel_abs_linf_vs_picard,vel_abs_rms_vs_picard,rel_l2_vs_ref,linf_vs_ref,rms_vs_ref,vel_abs_l2_vs_ref,vel_abs_linf_vs_ref,vel_abs_rms_vs_ref,reference_source,ref_velocity_l2,rho_abs_l2_vs_picard,rho_abs_linf_vs_picard,rho_abs_rms_vs_picard,flux_imbalance,velocity_span_rel,max_jump_rel,mass_imbalance,rho_min,rho_max,ghia_u_centerline_rms,ghia_v_centerline_rms,ghia_u_centerline_linf,ghia_v_centerline_linf,cavity_centerline_delta_u_rms,cavity_centerline_delta_v_rms,cavity_field_rel_l2_vs_tight_ref,ghia_literature_gate_pass,ghia_method_gate_pass,tight_ref_gate_pass,physical_converged,eligible_for_score,centerline_profile_rms,pressure_drop,reattachment_x,run_mode,method_tol,reference_tol,reference_converged,reference_final_residual
cavity_re100_n33,1,cavity_re100_n33__1x,"Lid-driven cavity Re=100 N=33 (N=33, 1x)",picard_lbm,5e-07,33,2930,1.0346992670092732,4.7427383596879855e-07,1,1,1,1,tol5.00e-07,tol5.00e-07,6219519679d3,6219519679d3,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01420522799484994,0.014729495000633586,0.005799083098843241,0.03381417458356535,0.014729495000633586,0.00579908309884324,ghia_centerline,0.9486906602417658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.008075094323529389,0.001432334193085568,0.014729495000633586,0.002708986386379203,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,strict,5e-07,5e-07,1,4.7427383596879855e-07
cavity_re100_n33,1,cavity_re100_n33__1x,"Lid-driven cavity Re=100 N=33 (N=33, 1x)",anderson_lbm,5e-07,33,6350,2.877750752028078,4.994851212816321e-07,1,1,1,1,tol5.00e-07,tol5.00e-07,6219519679d3,10f1aef90d81,nan,nan,nan,0.0,0.0,0.029388192668331217,0.0014461242873307452,0.0008448576941161019,0.027880303905831363,0.0014461242873307452,0.0008448576941161019,0.038273186207585574,0.018814237018109276,0.008002663167183758,0.046663143958498826,0.018814237018109276,0.008002663167183758,ghia_centerline,0.9486906602417658,0.05386761963795625,0.0018804653039952157,0.0016323521102410985,0.0,0.0,0.0,0.0,nan,nan,0.008177417777552674,0.007824006264450756,0.018814237018109276,0.012863151258121153,0.009592227298867521,0.009494536013220941,0.029388192668331217,1.0,1.0,0.0,0.0,0.0,nan,nan,nan,strict,5e-07,5e-07,1,4.7427383596879855e-07
cavity_re100_n33,1,cavity_re100_n33__1x,"Lid-driven cavity Re=100 N=33 (N=33, 1x)",preconditioned_lbm,5e-07,33,100501,18.74873826513067,6.082140398691282e-07,1,1,1,1,tol5.00e-07,tol5.00e-07,6219519679d3,af1742b84b8f,nan,nan,nan,0.0,0.0,0.14146997733589964,0.04664901265043333,0.004067007460702494,0.13421124620318228,0.04664901265043333,0.004067007460702494,0.0326109142907063,0.016489241040689856,0.00615148993446648,0.03586904188949912,0.016489241040689856,0.00615148993446648,ghia_centerline,0.9486906602417658,22.392121936273558,0.7386724857335675,0.6785491495840472,0.0,0.0,0.0,0.0,nan,nan,0.00467712237418286,0.007335269805849198,0.009193674981149313,0.016489241040689856,0.013139453406814751,0.011764772583647344,0.14146997733589964,1.0,1.0,0.0,0.0,0.0,nan,nan,nan,strict,5e-07,5e-07,1,4.7427383596879855e-07
cavity_re100_n33,1,cavity_re100_n33__1x,"Lid-driven cavity Re=100 N=33 (N=33, 1x)",inexact_newton_lbe,5e-07,33,1377,0.6294434268493205,4.874985659412403e-07,1,1,1,1,tol5.00e-07,tol5.00e-07,6219519679d3,b05e24febda7,nan,nan,nan,0.0,0.0,0.04761031578881767,0.002369168585960222,0.0013687109672731034,0.045167461920012406,0.002369168585960222,0.0013687109672731034,0.06127034669413104,0.027039689099197666,0.012080500289542544,0.07044081605398729,0.027039689099197666,0.012080500289542542,ghia_centerline,0.9486906602417658,0.06512501402305047,0.002247020455949267,0.001973485273425772,0.0,0.0,0.0,0.0,nan,nan,0.010882388254237155,0.013170064554713319,0.027039689099197666,0.021369257922522172,0.015641295074080592,0.015353276261339619,0.04761031578881767,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,strict,5e-07,5e-07,1,4.7427383596879855e-07
cavity_re100_n33,1,cavity_re100_n33__1x,"Lid-driven cavity Re=100 N=33 (N=33, 1x)",dual_time_mg_lbm,5e-07,33,3601,2.133055535843596,4.908171743999109e-07,1,1,1,1,tol5.00e-07,tol5.00e-07,6219519679d3,a7d02df3ac15,nan,nan,nan,0.0,0.0,0.03327310274330157,0.001744979952118547,0.0009565418730252994,0.03156588180983488,0.001744979952118547,0.0009565418730252994,0.0407094824751316,0.02124989805304605,0.008477164894711323,0.04942994070573305,0.02124989805304605,0.008477164894711323,ghia_centerline,0.9486906602417658,0.010678764064255187,0.000506559182414712,0.00032359891103803595,0.0,0.0,0.0,0.0,nan,nan,0.008602542268965667,0.008349905138078581,0.02124989805304605,0.015079651661810162,0.011143284976133247,0.010683616309603945,0.03327310274330157,1.0,1.0,0.0,0.0,0.0,nan,nan,nan,strict,5e-07,5e-07,1,4.7427383596879855e-07
cavity_re100_n33,1,cavity_re100_n33__1x,"Lid-driven cavity Re=100 N=33 (N=33, 1x)",proposed,5e-07,33,3449,0.26613773312419653,2.2004301586887312e-07,1,1,1,1,tol5.00e-07,tol5.00e-07,6219519679d3,07c57ca6c513,nan,nan,nan,0.0,0.0,0.0007174492805722958,4.479464016946336e-05,2.0625376717457915e-05,0.0006806374316761112,4.479464016946336e-05,2.0625376717457915e-05,0.01487714101278913,0.0148642939820397,0.0058199666500142605,0.03393594556583711,0.0148642939820397,0.005819966650014261,ghia_centerline,0.9486906602417658,0.004442875514835815,0.00022918836927288133,0.00013463259135866105,0.0,0.0,0.0,0.0,nan,nan,0.008071121840339172,0.0016127665215264265,0.0148642939820397,0.0029949012324256563,0.0002465403835030803,0.00019339202667574695,0.0007174492805722958,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,strict,5e-07,5e-07,1,4.7427383596879855e-07
cavity_re100_n33,2,cavity_re100_n33__2x,"Lid-driven cavity Re=100 N=33 (N=65, 2x)",picard_lbm,5e-08,65,10453,3.6964836861006916,4.2988406219379017e-08,1,1,1,1,tol5.00e-08,tol5.00e-08,321ab3611d64,321ab3611d64,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011062484246175095,0.007404538758638224,0.0028708941065374175,0.01674004543041456,0.007404538758638224,0.0028708941065374175,ghia_centerline,0.8899508216515757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0035855717583406998,0.0019046629905818341,0.007404538758638224,0.00397819870603347,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,strict,5e-08,5e-08,1,4.2988406219379017e-08
cavity_re100_n33,2,cavity_re100_n33__2x,"Lid-driven cavity Re=100 N=33 (N=65, 2x)",anderson_lbm,5e-08,65,28745,17.931710944976658,3.209010444602544e-07,0,1,1,1,tol5.00e-08,tol5.00e-08,321ab3611d64,26694f8b3a07,nan,nan,nan,0.0,0.0,0.015562026982050524,0.0004086592025668613,0.00021306828768061312,0.013849438699239854,0.0004086592025668613,0.00021306828768061312,0.018968939721667247,0.012406007753686471,0.004264505396089292,0.024866125819904866,0.012406007753686471,0.004264505396089292,ghia_centerline,0.8899508216515757,0.01477932882725842,0.0002844442894938126,0.0002273742896501295,0.0,0.0,0.0,0.0,nan,nan,0.004791871673360545,0.003661963737203604,0.012406007753686471,0.006547729199514518,0.004839538832126945,0.004689374444362972,0.015562026982050524,1.0,1.0,0.0,0.0,0.0,nan,nan,nan,strict,5e-08,5e-08,1,4.2988406219379017e-08
cavity_re100_n33,2,cavity_re100_n33__2x,"Lid-driven cavity Re=100 N=33 (N=65, 2x)",preconditioned_lbm,5e-08,65,160321,38.41320013720542,1.0591112842509405e-07,1,1,1,1,tol5.00e-08,tol5.00e-08,321ab3611d64,2ce2cb7c10ee,nan,nan,nan,0.0,0.0,0.06824990598753176,0.022570268207167503,0.0009344470755576414,0.060739059911246694,0.022570268207167503,0.0009344470755576414,0.011109208059197599,0.005315633830477173,0.0024475495641830447,0.014271543769000914,0.005315633830477173,0.0024475495641830447,ghia_centerline,0.8899508216515757,7.059467429543538,0.12188331176960765,0.10860719122374675,0.0,0.0,0.0,0.0,nan,nan,0.002689641651629922,0.0021787210753289855,0.005315633830477173,0.004008719661899224,0.0038193805436215317,0.0023931652150199637,0.06824990598753176,1.0,1.0,0.0,0.0,0.0,nan,nan,nan,strict,5e-08,5e-08,1,4.2988406219379017e-08
cavity_re100_n33,2,cavity_re100_n33__2x,"Lid-driven cavity Re=100 N=33 (N=65, 2x)",inexact_newton_lbe,5e-08,65,5729,3.709328048862517,1.4319676025605534e-07,1,1,1,1,tol5.00e-08,tol5.00e-08,321ab3611d64,57b810598b30,nan,nan,nan,0.0,0.0,0.13220846991470445,0.0033200707939281724,0.0018101390219982898,0.11765903642988884,0.0033200707939281724,0.0018101390219982898,0.1598548345537285,0.06785134628610467,0.03206621557993523,0.1869765604963412,0.06785134628610467,0.03206621557993523,ghia_centerline,0.8899508216515757,0.03890522347265737,0.0007772183940097932,0.0005985418995793441,0.0,0.0,0.0,0.0,nan,nan,0.030194434404592678,0.03383460498106209,0.06785134628610467,0.05834820398711943,0.041869270900058674,0.039784684100446395,0.13220846991470445,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,strict,5e-08,5e-08,1,4.2988406219379017e-08
