iter,phase,residual,lbe_calls,wall_seconds_raw,accepted
0,tail_residual_polish,1.1050738285112235e-05,1101,0.07460026699118316,0
1,tail_residual_polish,8.318295839359341e-06,1202,0.07964721485041082,1
2,tail_residual_polish,4.920241522798721e-06,1303,0.08467546687461436,1
3,tail_residual_polish,4.751711672999894e-06,1404,0.08971936884336174,1
4,tail_residual_polish,5.800358361872836e-06,1505,0.09475819091312587,0
5,tail_residual_polish,5.204257885558949e-06,1606,0.0999031038954854,0
6,tail_residual_polish,3.3861359366333e-06,1707,0.10491737886331975,1
7,tail_residual_polish,2.269059433330504e-06,1808,0.10997972590848804,1
8,tail_residual_polish,2.8091003605573493e-06,1909,0.11506839306093752,0
9,tail_residual_polish,2.9926657583182517e-06,2010,0.12016149703413248,0
10,tail_residual_polish,2.299957763542179e-06,2111,0.12524065584875643,0
11,tail_residual_polish,1.3721144716522347e-06,2212,0.13031588192097843,1
12,tail_residual_polish,1.6958581717524991e-06,2251,0.13232204294763505,0
