iter,residual,lbe_calls,wall_seconds_raw,wall_seconds,accepted,phase
0,0.0015430721293487085,1,0.0009215008467435837,0.0,1,0
1,0.0002466417361706234,10,0.0017399180214852095,0.0008184171747416258,1,0
2,0.00023134250640618976,14,0.00268255895934999,0.0017610581126064062,1,0
3,0.00020547422050641055,18,0.003472742857411504,0.00255124201066792,1,0
4,0.0001740056533243241,23,0.005173898069187999,0.004252397222444415,1,0
5,0.0001638732255845507,28,0.006121187936514616,0.005199687089771032,1,0
6,0.00015132465788244152,33,0.00713853002525866,0.006217029178515077,1,0
7,0.0001373604190014261,38,0.007983987918123603,0.007062487071380019,1,0
8,0.00013197087039868664,43,0.008862809045240283,0.0079413081984967,1,0
9,0.00012459260809042952,48,0.009692145977169275,0.008770645130425692,1,0
10,0.00012062282149919386,53,0.01052554091438651,0.009604040067642927,1,0
11,0.00011753076776537406,58,0.011408179067075253,0.010486678220331669,1,0
12,0.00011460919267223355,63,0.012190046021714807,0.011268545174971223,1,0
13,0.00011152290363904383,68,0.013016958953812718,0.012095458107069135,1,0
14,0.00010974823142937761,73,0.013795709935948253,0.012874209089204669,1,0
15,0.00010733108853693467,78,0.014654653845354915,0.013733152998611331,1,0
16,0.00010345626805221586,83,0.015532152028754354,0.01461065118201077,1,0
17,0.0001016301881327948,88,0.01631922903470695,0.015397728187963367,1,0
18,9.839883484397928e-05,93,0.01731149503029883,0.016389994183555245,1,0
19,9.618012234271454e-05,98,0.018097830936312675,0.017176330089569092,1,0
20,9.45118775965999e-05,103,0.018916677916422486,0.017995177069678903,1,0
21,9.235567787471139e-05,108,0.01976772607304156,0.018846225226297975,1,0
22,9.059634183724326e-05,113,0.020626859972253442,0.019705359125509858,1,0
23,8.871640449406088e-05,118,0.021396934986114502,0.02047543413937092,1,0
24,8.656867796577026e-05,123,0.02216499694623053,0.021243496099486947,1,0
25,8.411113252191683e-05,128,0.022989894961938262,0.02206839411519468,1,0
26,8.216470452153079e-05,133,0.02377981785684824,0.022858317010104656,1,0
27,8.030421849501755e-05,138,0.024619485018774867,0.023697984172031283,1,0
28,7.814284879720192e-05,143,0.025408555986359715,0.024487055139616132,1,0
29,7.740133911452564e-05,148,0.026151170022785664,0.02522966917604208,1,0
30,5.427542170811924e-05,209,0.029350014869123697,0.028428514022380114,1,0
31,3.8070069589438514e-05,270,0.03244346985593438,0.0315219690091908,1,0
32,3.340451065436897e-05,331,0.03554851794615388,0.034627017099410295,1,0
33,2.3689584512768183e-05,392,0.038613470969721675,0.03769197012297809,1,0
34,2.5630181389076618e-05,453,0.04171458096243441,0.04079308011569083,1,0
35,2.2590334782899352e-05,514,0.04481054097414017,0.043889040127396584,1,0
