iter,phase,residual,lbe_calls,wall_seconds_raw,accepted
0,tail_residual_polish,2.7194871013227793e-06,2146,1.381257588043809,0
1,tail_residual_polish,3.2391625233979775e-06,2247,1.442724543157965,0
2,tail_residual_polish,3.4517204893108742e-06,2348,1.502091143047437,0
3,tail_residual_polish,3.224989841357809e-06,2449,1.565211590146646,0
4,tail_residual_polish,2.7660977666844384e-06,2550,1.6293422160670161,0
5,tail_residual_polish,2.089735022531919e-06,2651,1.6934585641138256,1
6,tail_residual_polish,1.6888974500668378e-06,2752,1.7551911410409957,1
7,tail_residual_polish,1.848951969019733e-06,2853,1.8158865489531308,0
8,tail_residual_polish,2.2441718633464358e-06,2954,1.8861566490959376,0
9,tail_residual_polish,2.4451679900444053e-06,3055,1.9503521469887346,0
10,tail_residual_polish,2.3517656617319838e-06,3156,2.009795080171898,0
11,tail_residual_polish,2.056888756367165e-06,3257,2.071636612061411,0
12,tail_residual_polish,1.5772680156463724e-06,3358,2.1359597919508815,1
13,tail_residual_polish,1.2192051407539998e-06,3459,2.1946115910541266,1
14,tail_residual_polish,1.2527390304412891e-06,3560,2.258211084175855,0
15,tail_residual_polish,1.5336860390988622e-06,3661,2.3172107490245253,0
16,tail_residual_polish,1.7210409169680184e-06,3762,2.376701883971691,0
17,tail_residual_polish,1.7100351199300226e-06,3863,2.437976225046441,0
18,tail_residual_polish,1.5307078236391392e-06,3964,2.4981614651624113,0
19,tail_residual_polish,1.3419715140690652e-06,4025,2.5340658579953015,0
20,final_native_audit_tail,1.143219930894334e-06,5085,4.217320348136127,0
21,final_native_audit_tail,1.143219930894334e-06,5164,4.263222930952907,0
