iter,residual,lbe_calls,wall_seconds_raw,wall_seconds,accepted,phase
0,0.0003109189706787599,1,0.003766863141208887,0.0,1,0
1,6.456742056743708e-06,202,0.12697575497440994,0.12320889183320105,1,0
2,6.470017467457338e-06,403,0.2504230171907693,0.24665615404956043,1,0
3,4.460869846879263e-06,604,0.3806304191239178,0.37686355598270893,1,0
4,3.8197593640859525e-06,805,0.5084145821165293,0.5046477189753205,1,0
5,4.9545016445640505e-06,1006,0.6314172891434282,0.6276504260022193,1,0
6,4.0563321860182e-06,1207,0.7478376401122659,0.7440707769710571,1,0
7,2.4285341273247647e-06,1408,0.8673294719774276,0.8635626088362187,1,0
8,2.996557151554461e-06,1609,0.984669771976769,0.9809029088355601,1,0
9,3.3670005279711373e-06,1810,1.1014039660803974,1.0976371029391885,1,0
10,2.428396697041445e-06,2011,1.2175144830252975,1.2137476198840886,1,0
11,1.7251643722565237e-06,2212,1.3327711280435324,1.3290042649023235,1,0
12,2.397388753192607e-06,2413,1.4507782261352986,1.4470113629940897,1,0
13,2.2191921609220617e-06,2614,1.567455783020705,1.563688919879496,1,0
14,1.3447616997078105e-06,2815,1.684668853180483,1.680901990039274,1,0
15,1.3950761532600764e-06,3016,1.8009266881272197,1.7971598249860108,1,0
16,1.7380923569476932e-06,3217,1.9186954661272466,1.9149286029860377,1,0
17,1.3653761033706094e-06,3418,2.0350615351926535,2.0312946720514446,1,0
18,8.423750091063437e-07,3619,2.1533258000854403,2.1495589369442314,1,0
19,1.1526219848343864e-06,3820,2.2691976171918213,2.2654307540506124,1,0
20,1.198890969691012e-06,4021,2.3869359081145376,2.3831690449733287,1,0
21,7.747172827987681e-07,4222,2.504165353020653,2.5003984898794442,1,0
22,6.515925391420966e-07,4423,2.627306401031092,2.623539537889883,1,0
23,8.807018283143753e-07,4624,2.7451291310135275,2.7413622678723186,1,0
24,7.649578425968471e-07,4825,2.867992299143225,2.864225436002016,1,0
25,4.46874024823184e-07,5026,2.9859378719702363,2.9821710088290274,1,0
26,5.460561677059144e-07,5227,3.113001102115959,3.10923423897475,1,0
27,6.341415200691544e-07,5428,3.230366960167885,3.226600097026676,1,0
28,4.492536426801825e-07,5629,3.346082180039957,3.3423153168987483,1,0
29,3.1163202025277614e-07,5830,3.4611200420185924,3.4573531788773835,1,0
30,4.3668901442614487e-07,6031,3.5776102549862117,3.5738433918450028,1,0
31,4.212964469774945e-07,6232,3.693804159993306,3.690037296852097,1,0
32,2.527466240882135e-07,6433,3.810649164021015,3.8068823008798063,1,0
33,2.557174099574826e-07,6634,3.92857605102472,3.924809187883511,1,0
34,3.278979550054446e-07,6835,4.046351541997865,4.042584678856656,1,0
35,2.576097088994356e-07,7036,4.162235732190311,4.158468869049102,1,0
36,1.5735310134561857e-07,7237,4.278494358062744,4.274727494921535,1,0
37,2.1181289071566612e-07,7438,4.394991455134004,4.3912245919927955,1,0
38,2.271560128892303e-07,7639,4.51549092005007,4.511724056908861,1,0
39,1.4703220416402053e-07,7840,4.635464613093063,4.631697749951854,1,0
40,1.1997390289870198e-07,8041,4.753933153115213,4.750166289974004,1,0
41,1.6569150533072412e-07,8242,4.871034370968118,4.867267507826909,1,0
42,1.4493465170587874e-07,8443,4.993306083139032,4.989539219997823,1,0
43,8.515453405745782e-08,8644,5.109655290143564,5.1058884270023555,1,0
