iter,residual,lbe_calls,wall_seconds_raw,wall_seconds,accepted,phase
0,0.0003109189706787599,1,0.0013817490544170141,0.0,1,0
1,5.079411133034569e-06,22,0.015262671979144216,0.013880922924727201,1,0
2,5.087551222761751e-06,26,0.020914505003020167,0.019532755948603153,1,0
3,5.091392538263594e-06,30,0.02649802900850773,0.025116279954090714,1,0
4,5.08562517266311e-06,35,0.03501600516028702,0.03363425610587001,1,0
5,5.09076485773858e-06,40,0.04090192005969584,0.039520171005278826,1,0
6,5.087958000162034e-06,45,0.04667074396274984,0.045288994908332825,1,0
7,5.08405250160769e-06,50,0.05253661097958684,0.051154861925169826,1,0
8,5.088215763364516e-06,55,0.057842872105538845,0.05646112305112183,1,0
9,5.086282104497506e-06,60,0.06300576101057231,0.0616240119561553,1,0
10,5.087756875814957e-06,65,0.06807065615430474,0.06668890709988773,1,0
11,5.096609685375206e-06,70,0.07394740404561162,0.0725656549911946,1,0
12,5.08489229022956e-06,75,0.08071713801473379,0.07933538896031678,1,0
13,5.0882497905509156e-06,80,0.08596581895835698,0.08458406990393996,1,0
14,5.0912826312641015e-06,85,0.09147973195649683,0.09009798290207982,1,0
15,5.091462294914487e-06,90,0.09741705399937928,0.09603530494496226,1,0
16,5.095203136226904e-06,95,0.1035275540780276,0.10214580502361059,1,0
17,5.099393986329001e-06,100,0.10992123698815703,0.10853948793374002,1,0
18,5.099634462201056e-06,105,0.11581369512714446,0.11443194607272744,1,0
19,5.103294391154817e-06,110,0.12211166811175644,0.12072991905733943,1,0
20,5.1057673554140345e-06,115,0.12871002801693976,0.12732827896252275,1,0
21,5.1061401327320885e-06,120,0.1346687711775303,0.13328702212311327,1,0
22,5.110448539907786e-06,125,0.1405654470436275,0.1391836979892105,1,0
23,5.113536813730635e-06,130,0.1466544249560684,0.14527267590165138,1,0
24,5.114123638651582e-06,135,0.1526603470556438,0.15127859800122678,1,0
25,5.118339528047896e-06,140,0.15882426709868014,0.15744251804426312,1,0
26,5.11959297912004e-06,145,0.16475411411374807,0.16337236505933106,1,0
27,5.120436003537864e-06,150,0.17069727811031044,0.16931552905589342,1,0
28,5.12577867724969e-06,155,0.17711304407566786,0.17573129502125084,1,0
29,5.127721454400785e-06,160,0.1835622531361878,0.18218050408177078,1,0
30,5.128377033646151e-06,165,0.19017305597662926,0.18879130692221224,1,0
31,5.133434223761947e-06,170,0.1960317799821496,0.1946500309277326,1,0
32,5.134236062907176e-06,175,0.20183042995631695,0.20044868090189993,1,0
33,5.135278367678703e-06,180,0.20695252297446132,0.2055707739200443,1,0
34,5.1413018318027964e-06,185,0.21230191411450505,0.21092016506008804,1,0
35,5.142841083563039e-06,190,0.21773570613004267,0.21635395707562566,1,0
36,5.143579716755145e-06,195,0.22296124417334795,0.22157949511893094,1,0
37,6.383327918297341e-06,353,0.31373124616220593,0.3123494971077889,1,0
38,6.906761912433569e-06,511,0.4073039561044425,0.40592220705002546,1,0
39,5.486149331663209e-06,669,0.49991160817444324,0.49852985912002623,1,0
40,3.670663879878702e-06,827,0.5917661071289331,0.5903843580745161,1,0
41,3.934214992631151e-06,985,0.6879481601063162,0.6865664110518992,1,0
42,4.8910533138588855e-06,1143,0.7800428930204362,0.7786611439660192,1,0
43,4.483272823492182e-06,1301,0.8736188129987568,0.8722370639443398,1,0
44,3.3405949406566226e-06,1459,0.9690459000412375,0.9676641509868205,1,0
45,2.3780253715197375e-06,1617,1.0601707720197737,1.0587890229653567,1,0
46,3.006635668642355e-06,1775,1.156242344994098,1.154860595939681,1,0
47,3.438697243545184e-06,1933,1.2487586541101336,1.2473769050557166,1,0
48,3.133635611244435e-06,2044,1.318584144115448,1.317202395061031,1,0
49,2.089735022531919e-06,2651,1.6934585641138256,1.6920768150594085,1,0
50,1.6888974500668378e-06,2752,1.7551911410409957,1.7538093919865787,1,0
51,1.5772680156463724e-06,3358,2.1359597919508815,2.1345780428964645,1,0
52,1.2192051407539998e-06,3459,2.1946115910541266,2.1932298419997096,1,0
53,1.2192051407539998e-06,4028,2.536462093004957,2.53508034395054,1,0
54,1.0103391878682952e-06,4764,4.008434473071247,4.00705272401683,1,0
55,1.143219930894334e-06,4845,4.06831232807599,4.066930579021573,1,0
56,1.313795982728242e-06,4923,4.115488565992564,4.114106816938147,1,0
57,1.4331352245683587e-06,5001,4.1627427821513265,4.1613610330969095,1,0
58,1.433992599046306e-06,5002,4.1642653569579124,4.162883607903495,1,0
59,1.0102898945763444e-06,5006,4.169057096121833,4.167675347067416,1,0
