iter,phase,residual,lbe_calls,wall_seconds_raw,accepted
0,tail_residual_polish,2.7194871013227793e-06,2146,1.4006515659857541,0
1,tail_residual_polish,3.2391625233979775e-06,2247,1.4590465009678155,0
2,tail_residual_polish,3.4517204893108742e-06,2348,1.5185106738936156,0
3,tail_residual_polish,3.224989841357809e-06,2449,1.5808785900007933,0
4,tail_residual_polish,2.7660977666844384e-06,2550,1.6464883689768612,0
5,tail_residual_polish,2.089735022531919e-06,2651,1.708166433032602,1
6,tail_residual_polish,1.6888974500668378e-06,2752,1.7661439289804548,1
7,tail_residual_polish,1.848951969019733e-06,2853,1.826589355012402,0
8,tail_residual_polish,2.2441718633464358e-06,2954,1.8888357728719711,0
9,tail_residual_polish,2.4451679900444053e-06,3055,1.9523125640116632,0
10,tail_residual_polish,2.3517656617319838e-06,3156,2.011416575871408,0
11,tail_residual_polish,2.056888756367165e-06,3257,2.069624237017706,0
12,tail_residual_polish,1.5772680156463724e-06,3358,2.1323496990371495,1
13,tail_residual_polish,1.2192051407539998e-06,3459,2.1899235919117928,1
14,tail_residual_polish,1.2527390304412891e-06,3560,2.2546636280603707,0
15,tail_residual_polish,1.5336860390988622e-06,3661,2.312995422864333,0
16,tail_residual_polish,1.7210409169680184e-06,3762,2.373075438896194,0
17,tail_residual_polish,1.7100351199300226e-06,3863,2.4379560509696603,0
18,tail_residual_polish,1.5307078236391392e-06,3964,2.5002874589990824,0
19,tail_residual_polish,1.3419715140690652e-06,4025,2.5394901300314814,0
20,channel_native_audit_tail,1.4476958467293914e-06,5263,4.309367249952629,0
21,channel_native_audit_tail,1.0335140768805396e-06,5520,4.456811286043376,0
22,channel_native_audit_tail,7.642155233734514e-07,5777,4.604872778989375,0
23,channel_native_audit_tail,1.038878501868864e-06,6034,4.7563487680163234,0
24,channel_native_audit_tail,6.413544235197522e-07,6291,4.907608530018479,1
25,channel_native_audit_tail,7.267272016771105e-07,6676,5.12986829993315,0
26,channel_native_audit_tail,5.783655387467305e-07,6933,5.277541158953682,0
27,channel_native_audit_tail,3.6629295309925786e-07,7190,5.42513608885929,1
28,channel_native_audit_tail,4.87839230442178e-07,7575,5.651561666047201,0
29,channel_native_audit_tail,2.606135060114617e-07,7832,5.799770355923101,1
30,channel_native_audit_tail,3.7832048431510126e-07,8217,6.030234288889915,0
31,channel_native_audit_tail,2.2737940682080577e-07,8474,6.182642580009997,0
32,channel_native_audit_tail,2.2540816365337298e-07,8731,6.329591169953346,0
33,channel_native_audit_tail,2.6106712169892456e-07,8988,6.47670149593614,0
34,channel_native_audit_tail,2.057840487770033e-07,9117,6.550254323985428,0
