iter,residual,lbe_calls,wall_seconds_raw,wall_seconds,accepted,phase
0,0.0003109189706787599,1,0.0012704790569841862,0.0,1,0
1,5.079411133034569e-06,22,0.014322407077997923,0.013051928021013737,1,0
2,5.087551222761751e-06,26,0.019082194892689586,0.0178117158357054,1,0
3,5.091392538263594e-06,30,0.023195782909169793,0.021925303852185607,1,0
4,5.08562517266311e-06,35,0.031251284992322326,0.02998080593533814,1,0
5,5.09076485773858e-06,40,0.03749396395869553,0.036223484901711345,1,0
6,5.087958000162034e-06,45,0.043811153853312135,0.04254067479632795,1,0
7,5.08405250160769e-06,50,0.05000193486921489,0.048731455812230706,1,0
8,5.088215763364516e-06,55,0.05597583600319922,0.054705356946215034,1,0
9,5.086282104497506e-06,60,0.0621742510702461,0.060903772013261914,1,0
10,5.087756875814957e-06,65,0.06816683802753687,0.06689635897055268,1,0
11,5.096609685375206e-06,70,0.07491704495623708,0.07364656589925289,1,0
12,5.08489229022956e-06,75,0.08179909107275307,0.08052861201576889,1,0
13,5.0882497905509156e-06,80,0.08738132193684578,0.0861108428798616,1,0
14,5.0912826312641015e-06,85,0.09282166697084904,0.09155118791386485,1,0
15,5.091462294914487e-06,90,0.09810078586451709,0.0968303068075329,1,0
16,5.095203136226904e-06,95,0.10370713286101818,0.102436653804034,1,0
17,5.099393986329001e-06,100,0.10927839297801256,0.10800791392102838,1,0
18,5.099634462201056e-06,105,0.11467212904244661,0.11340164998546243,1,0
19,5.103294391154817e-06,110,0.11993618006817997,0.11866570101119578,1,0
20,5.1057673554140345e-06,115,0.12546482984907925,0.12419435079209507,1,0
21,5.1061401327320885e-06,120,0.1307390199508518,0.1294685408938676,1,0
22,5.110448539907786e-06,125,0.1371653259266168,0.1358948468696326,1,0
23,5.113536813730635e-06,130,0.1438811980187893,0.1426107189618051,1,0
24,5.114123638651582e-06,135,0.1507591458503157,0.1494886667933315,1,0
25,5.118339528047896e-06,140,0.157473896862939,0.15620341780595481,1,0
26,5.11959297912004e-06,145,0.1640315898694098,0.1627611108124256,1,0
27,5.120436003537864e-06,150,0.17084064800292253,0.16957016894593835,1,0
28,5.12577867724969e-06,155,0.17708599288016558,0.1758155138231814,1,0
29,5.127721454400785e-06,160,0.18412587698549032,0.18285539792850614,1,0
30,5.128377033646151e-06,165,0.19122864003293216,0.18995816097594798,1,0
31,5.133434223761947e-06,170,0.19785681599751115,0.19658633694052696,1,0
32,5.134236062907176e-06,175,0.20468162395991385,0.20341114490292966,1,0
33,5.135278367678703e-06,180,0.21121068391948938,0.2099402048625052,1,0
34,5.1413018318027964e-06,185,0.21734093106351793,0.21607045200653374,1,0
35,5.142841083563039e-06,190,0.2242387270089239,0.2229682479519397,1,0
36,5.143579716755145e-06,195,0.23035711096599698,0.2290866319090128,1,0
37,6.383327918297341e-06,353,0.32460231496952474,0.32333183591254056,1,0
38,6.906761912433569e-06,511,0.41921993205323815,0.41794945299625397,1,0
39,5.486149331663209e-06,669,0.5233007110655308,0.5220302320085466,1,0
40,3.670663879878702e-06,827,0.6177020599134266,0.6164315808564425,1,0
41,3.934214992631151e-06,985,0.7095634818542749,0.7082930027972907,1,0
42,4.8910533138588855e-06,1143,0.8028838708996773,0.8016133918426931,1,0
43,4.483272823492182e-06,1301,0.8936854319181293,0.8924149528611451,1,0
44,3.3405949406566226e-06,1459,0.985899630934,0.9846291518770158,1,0
45,2.3780253715197375e-06,1617,1.0801395350135863,1.078869055956602,1,0
46,3.006635668642355e-06,1775,1.179792562033981,1.178522082976997,1,0
47,3.438697243545184e-06,1933,1.2697768500074744,1.2685063709504902,1,0
48,3.133635611244435e-06,2044,1.334282873896882,1.3330123948398978,1,0
49,2.089735022531919e-06,2651,1.708166433032602,1.7068959539756179,1,0
50,1.6888974500668378e-06,2752,1.7661439289804548,1.7648734499234706,1,0
51,1.5772680156463724e-06,3358,2.1323496990371495,2.1310792199801654,1,0
52,1.2192051407539998e-06,3459,2.1899235919117928,2.1886531128548086,1,0
53,1.2192051407539998e-06,4028,2.5424915680196136,2.5412210889626294,1,0
54,1.0103391878682952e-06,4764,3.9998183608986437,3.9985478818416595,1,0
55,1.143219930894334e-06,4845,4.055708986939862,4.054438507882878,1,0
56,1.313795982728242e-06,4923,4.108746873913333,4.107476394856349,1,0
57,1.4331352245683587e-06,5001,4.155738683883101,4.154468204826117,1,0
58,1.433992599046306e-06,5002,4.156975549878553,4.155705070821568,1,0
59,1.0102898945763444e-06,5006,4.161579133942723,4.160308654885739,1,0
60,6.413544235197522e-07,6291,4.907608530018479,4.9063380509614944,1,0
61,3.6629295309925786e-07,7190,5.42513608885929,5.423865609802306,1,0
62,2.606135060114617e-07,7832,5.799770355923101,5.798499876866117,1,0
