iter,residual,lbe_calls,wall_seconds_raw,wall_seconds,accepted,phase
0,0.000603657592038671,1,0.0003779048565775156,0.0,1,0
1,7.004251478776018e-05,61,0.045703336829319596,0.04532543197274208,1,0
2,4.853751627843886e-05,121,0.08098526298999786,0.08060735813342035,1,0
3,3.500303865502532e-05,181,0.11683737486600876,0.11645947000943124,1,0
4,2.6511093457481843e-05,241,0.15241518383845687,0.15203727898187935,1,0
5,2.0843666152714865e-05,301,0.18378333281725645,0.18340542796067894,1,0
6,1.685303482831881e-05,361,0.21670158300548792,0.2163236781489104,1,0
7,1.3928095962060934e-05,421,0.25312533183023334,0.2527474269736558,1,0
8,1.171559892084808e-05,481,0.2919555217958987,0.29157761693932116,1,0
9,9.99939403587649e-06,541,0.33432964282110333,0.3339517379645258,1,0
10,8.640327887110504e-06,601,0.37389472289942205,0.37351681804284453,1,0
11,7.545279587718944e-06,661,0.40932788397185504,0.40894997911527753,1,0
12,6.649900714025391e-06,721,0.44412057800218463,0.4437426731456071,1,0
13,5.90851088249302e-06,781,0.4772789718117565,0.476901066955179,1,0
14,5.287919895646364e-06,841,0.5095942819025367,0.5092163770459592,1,0
15,4.763517025100099e-06,901,0.5457150228321552,0.5453371179755777,1,0
16,4.316720776536802e-06,961,0.5896056478377432,0.5892277429811656,1,0
17,3.933272838243354e-06,1021,0.6290134550072253,0.6286355501506478,1,0
18,3.6020710109179244e-06,1081,0.663914083968848,0.6635361791122705,1,0
19,3.314354952360168e-06,1141,0.6984505839645863,0.6980726791080087,1,0
20,3.0631279965769424e-06,1201,0.732805109815672,0.7324272049590945,1,0
21,2.842740037026301e-06,1261,0.7687017819844186,0.7683238771278411,1,0
22,2.648582222155757e-06,1321,0.8052903928328305,0.804912487976253,1,0
23,2.4768604931377764e-06,1381,0.8420547118876129,0.8416768070310354,1,0
24,2.324425507312494e-06,1441,0.8765220299828798,0.8761441251263022,1,0
25,2.1886434109603116e-06,1501,0.9162967458833009,0.9159188410267234,1,0
26,2.0672965598930675e-06,1561,0.9504499118775129,0.9500720070209354,1,0
27,1.9585064393087424e-06,1621,0.9867018058430403,0.9863239009864628,1,0
28,1.8606732108349577e-06,1681,1.0227604350075126,1.022382530150935,1,0
29,1.7724278362574105e-06,1741,1.058380324859172,1.0580024200025946,1,0
30,1.6925938047233954e-06,1801,1.0963787778746337,1.0960008730180562,1,0
31,1.6201562606205866e-06,1861,1.149121336871758,1.1487434320151806,1,0
32,1.554236886405669e-06,1921,1.2001599739305675,1.19978206907399,1,0
33,1.494073300707744e-06,1981,1.2582363300025463,1.2578584251459688,1,0
34,1.4390020306108978e-06,2041,1.321101615903899,1.3207237110473216,1,0
35,1.3884443380553375e-06,2101,1.3857952989637852,1.3854173941072077,1,0
36,1.34189434521103e-06,2161,1.4446136727929115,1.444235767936334,1,0
37,1.2989090272184278e-06,2221,1.4919332948047668,1.4915553899481893,1,0
38,1.2590997341192847e-06,2281,1.5482848437968642,1.5479069389402866,1,0
39,1.2221249746971277e-06,2341,1.600250561023131,1.5998726561665535,1,0
40,1.1876842490661814e-06,2401,1.6586254769936204,1.6582475721370429,1,0
41,1.155512758606728e-06,2461,1.716155343921855,1.7157774390652776,1,0
42,1.1253768542857035e-06,2521,1.7651666849851608,1.7647887801285833,1,0
43,1.0970701095224975e-06,2581,1.8131011589430273,1.8127232540864497,1,0
44,1.070409923920937e-06,2641,1.8650210089981556,1.864643104141578,1,0
45,1.0452345799163695e-06,2701,1.9118146479595453,1.9114367431029677,1,0
46,1.0214006872073642e-06,2761,1.9433583698701113,1.9429804650135338,1,0
47,9.987809602530937e-07,2821,1.9748288688715547,1.9744509640149772,1,0
48,9.77262282424417e-07,2881,2.004878892796114,2.0045009879395366,1,0
49,9.567440175346914e-07,2941,2.0409048318397254,2.040526926983148,1,0
50,9.371365351945533e-07,3001,2.0743100848048925,2.073932179948315,1,0
51,9.183599212819987e-07,3061,2.1068270378746092,2.1064491330180317,1,0
52,9.003428489440282e-07,3121,2.1355428698007017,2.135164964944124,1,0
53,8.83021588990585e-07,3181,2.163489300990477,2.1631113961338997,1,0
54,8.663391414213143e-07,3241,2.191315855830908,2.1909379509743303,1,0
55,8.502444724642362e-07,3301,2.2214049389585853,2.2210270341020077,1,0
56,8.346918434497354e-07,3361,2.254329241812229,2.2539513369556516,1,0
57,8.196402198918334e-07,3421,2.2877585468813777,2.2873806420248,1,0
58,8.050527505197264e-07,3481,2.3201035850215703,2.319725680164993,1,0
59,7.908963075204946e-07,3541,2.3531488080043346,2.352770903147757,1,0
60,7.771410803465301e-07,3601,2.3873361288569868,2.3869582240004092,1,0
61,7.637602163951271e-07,3661,2.4195574829354882,2.4191795780789107,1,0
62,7.50729502894776e-07,3721,2.456036427989602,2.4556585231330246,1,0
63,7.380270848823216e-07,3781,2.490851176902652,2.4904732720460743,1,0
64,7.256332149703669e-07,3841,2.524839371908456,2.5244614670518786,1,0
65,7.13530031054628e-07,3901,2.55614436394535,2.5557664590887725,1,0
66,7.017013586910596e-07,3961,2.58817642997019,2.5877985251136124,1,0
67,6.901325351494277e-07,4021,2.6222865958698094,2.621908691013232,1,0
68,6.788102527177499e-07,4081,2.657490349840373,2.6571124449837953,1,0
69,6.677224189456537e-07,4141,2.691845628898591,2.6914677240420133,1,0
70,6.568580319169157e-07,4201,2.7231219219975173,2.72274401714094,1,0
71,6.46207068838787e-07,4261,2.7540862099267542,2.7537083050701767,1,0
72,6.357603864719119e-07,4321,2.7912716770078987,2.790893772151321,1,0
73,6.255096319832991e-07,4381,2.8212165059521794,2.820838601095602,1,0
74,6.154471632192668e-07,4441,2.855407018912956,2.8550291140563786,1,0
75,6.055659772009621e-07,4501,2.885667670983821,2.8852897661272436,1,0
76,5.958596461017222e-07,4561,2.9182968058157712,2.9179189009591937,1,0
77,5.863222597394777e-07,4621,2.952126291813329,2.9517483869567513,1,0
78,5.769483740319918e-07,4681,2.9844517689198256,2.984073864063248,1,0
79,5.677329646935491e-07,4741,3.014963530935347,3.0145856260787696,1,0
80,5.586713856106927e-07,4801,3.0452993409708142,3.0449214361142367,1,0
81,5.497593314969344e-07,4861,3.0744971688836813,3.074119264027104,1,0
82,5.409928042639913e-07,4921,3.104890587972477,3.1045126831158996,1,0
83,5.323680828147877e-07,4981,3.1367332618683577,3.13635535701178,1,0
84,5.238816958720519e-07,5041,3.168886507861316,3.1685086030047387,1,0
85,5.1553039749678e-07,5101,3.2043587299995124,3.203980825142935,1,0
86,5.07311145127967e-07,5161,3.2475379889365286,3.247160084079951,1,0
87,4.992210797442487e-07,5221,3.279342104913667,3.2789642000570893,1,0
88,4.912575080797998e-07,5281,3.309419235913083,3.3090413310565054,1,0
89,4.834178865496336e-07,5341,3.3399916340131313,3.3396137291565537,1,0
90,4.756998068467038e-07,5401,3.3686279898975044,3.368250085040927,1,0
91,4.6810098294918695e-07,5461,3.3977367889601737,3.397358884103596,1,0
92,4.606192394035205e-07,5521,3.429369400953874,3.4289914960972965,1,0
93,4.5325250086363593e-07,5581,3.459630288882181,3.4592523840256035,1,0
94,4.4599878257902857e-07,5641,3.4899400398135185,3.489562134956941,1,0
95,4.3885618192493136e-07,5701,3.5230983968358487,3.522720491979271,1,0
96,4.3182287075049977e-07,5761,3.557498500915244,3.5571205960586667,1,0
97,4.2489708848625676e-07,5821,3.589620277984068,3.5892423731274903,1,0
98,4.1807713600923084e-07,5881,3.6221243268810213,3.6217464220244437,1,0
99,4.113613700707431e-07,5941,3.6559786598663777,3.6556007550098,1,0
100,4.0474819832694444e-07,6001,3.689028911991045,3.6886510071344674,1,0
101,3.9823607489767334e-07,6061,3.721006928011775,3.7206290231551975,1,0
102,3.9182349634506836e-07,6121,3.7515868798363954,3.751208974979818,1,0
103,3.855089980928945e-07,6181,3.7812433349899948,3.7808654301334172,1,0
104,3.7929115123340024e-07,6241,3.8105449988506734,3.810167093994096,1,0
105,3.731685596492156e-07,6301,3.841427842853591,3.8410499379970133,1,0
106,3.6713985744045936e-07,6361,3.8731021638959646,3.872724259039387,1,0
107,3.612037066577572e-07,6421,3.905260019004345,3.9048821141477674,1,0
108,3.553587952322646e-07,6481,3.936052461853251,3.9356745569966733,1,0
109,3.4960383516293366e-07,6541,3.9692971878685057,3.968919283011928,1,0
110,3.4393756091599105e-07,6601,4.001457807840779,4.001079902984202,1,0
111,3.383587279380376e-07,6661,4.034519772976637,4.034141868120059,1,0
112,3.3286611142766526e-07,6721,4.066890048794448,4.066512143937871,1,0
113,3.274585051577977e-07,6781,4.095426671905443,4.095048767048866,1,0
114,3.2213472047959086e-07,6841,4.125340634956956,4.124962730100378,1,0
115,3.168935854355876e-07,6901,4.16379824699834,4.163420342141762,1,0
116,3.117339439714346e-07,6961,4.2144344819244,4.214056577067822,1,0
117,3.066546552365224e-07,7021,4.266380483983085,4.266002579126507,1,0
118,3.016545929601314e-07,7081,4.310840650927275,4.310462746070698,1,0
119,2.967326449413173e-07,7141,4.343546732794493,4.343168827937916,1,0
120,2.918877125537054e-07,7201,4.374458272010088,4.3740803671535105,1,0
121,2.871187103095615e-07,7261,4.410676484927535,4.4102985800709575,1,0
122,2.824245655475551e-07,7321,4.445206617005169,4.444828712148592,1,0
123,2.7780421807140807e-07,7381,4.487366813002154,4.486988908145577,1,0
124,2.7325661988291773e-07,7441,4.5196791109628975,4.51930120610632,1,0
125,2.6878073495029946e-07,7501,4.551966361002997,4.551588456146419,1,0
126,2.6437553897704933e-07,7561,4.585130578838289,4.584752673981711,1,0
127,2.600400192218911e-07,7621,4.617447705939412,4.617069801082835,1,0
128,2.557731743485582e-07,7681,4.6509967017918825,4.650618796935305,1,0
129,2.515740142898422e-07,7741,4.685092550935224,4.684714646078646,1,0
130,2.474415600818582e-07,7801,4.715154793811962,4.7147768889553845,1,0
131,2.4337484381040505e-07,7861,4.746181009802967,4.74580310494639,1,0
132,2.393729084794145e-07,7921,4.7773020239546895,4.776924119098112,1,0
133,2.3543480795608625e-07,7981,4.809301610803232,4.808923705946654,1,0
134,2.31559606864981e-07,8041,4.841556859901175,4.841178955044597,1,0
135,2.277463805374106e-07,8101,4.876002391800284,4.875624486943707,1,0
136,2.239942149673876e-07,8161,4.909001556923613,4.908623652067035,1,0
137,2.2030220671637173e-07,8221,4.940401308936998,4.940023404080421,1,0
138,2.166694628961433e-07,8281,4.970904235960916,4.970526331104338,1,0
139,2.1309510111060624e-07,8341,5.001640903996304,5.001262999139726,1,0
140,2.0957824940956463e-07,8401,5.034408662933856,5.034030758077279,1,0
141,2.061180462313079e-07,8461,5.068298493977636,5.067920589121059,1,0
142,2.027136403816738e-07,8521,5.1082126358523965,5.107834730995819,1,0
143,1.9936419097475055e-07,8581,5.143526508938521,5.143148604081944,1,0
144,1.960688673935791e-07,8641,5.177972110919654,5.177594206063077,1,0
145,1.9282684925115347e-07,8701,5.210495027014986,5.210117122158408,1,0
146,1.8963732633270209e-07,8761,5.243935116799548,5.243557211942971,1,0
147,1.8649949856181778e-07,8821,5.279043641872704,5.2786657370161265,1,0
148,1.8341257595310564e-07,8881,5.314212621888146,5.313834717031568,1,0
149,1.803757785578653e-07,8941,5.351093998877332,5.350716094020754,1,0
150,1.7738833640783665e-07,9001,5.384333631023765,5.383955726167187,1,0
151,1.744494894778576e-07,9061,5.419291300000623,5.418913395144045,1,0
152,1.7155848761634675e-07,9121,5.45308567979373,5.452707774937153,1,0
