iter,residual,lbe_calls,wall_seconds_raw,wall_seconds,accepted,phase
0,0.000603657592038671,1,0.005867847008630633,0.0,1,0
1,6.815966574836411e-06,102,0.07292081601917744,0.0670529690105468,1,0
2,4.097628779585533e-06,203,0.09590800199657679,0.09004015498794615,1,0
3,3.03454852034853e-06,304,0.1186454021371901,0.11277755512855947,1,0
4,2.450267161896851e-06,405,0.13708969112485647,0.13122184411622584,1,0
5,2.075047088540598e-06,506,0.15626476402394474,0.1503969170153141,1,0
6,1.8112299055302095e-06,607,0.17613554117269814,0.1702676941640675,1,0
7,1.6143277346606651e-06,708,0.1954165929928422,0.18954874598421156,1,0
8,1.4609343709781179e-06,809,0.2165521930437535,0.21068434603512287,1,0
9,1.3374129557395648e-06,910,0.2393897119909525,0.23352186498232186,1,0
10,1.2351927927867172e-06,1011,0.2652560891583562,0.25938824214972556,1,0
11,1.1485838800380477e-06,1112,0.29598588217049837,0.29011803516186774,1,0
12,1.0736666316336687e-06,1213,0.32751231198199093,0.3216444649733603,1,0
13,1.007677566364173e-06,1314,0.3572781721595675,0.35141032515093684,1,0
14,9.486402360953175e-07,1415,0.3874113610945642,0.38154351408593357,1,0
15,8.951274953918064e-07,1516,0.4080645740032196,0.40219672699458897,1,0
16,8.461006223118049e-07,1617,0.42846785904839635,0.4226000120397657,1,0
17,8.007972074947885e-07,1718,0.448021988151595,0.44215414114296436,1,0
18,7.58651888442894e-07,1819,0.46807238506153226,0.4622045380529016,1,0
19,7.192400000139375e-07,1920,0.49264104710891843,0.4867732001002878,1,0
20,6.82237485576661e-07,2021,0.5134363831020892,0.5075685360934585,1,0
21,6.473924118305336e-07,2122,0.5371163450181484,0.5312484980095178,1,0
22,6.145047638425606e-07,2223,0.5642746151424944,0.5584067681338638,1,0
23,5.83412134000922e-07,2324,0.5859500700607896,0.580082223052159,1,0
24,5.539795931911103e-07,2425,0.6055649230256677,0.599697076017037,1,0
25,5.260925206980775e-07,2526,0.6289113541133702,0.6230435071047395,1,0
26,4.996515221192218e-07,2627,0.6511134901084006,0.64524564309977,1,0
27,4.745688181461165e-07,2728,0.6787648880854249,0.6728970410767943,1,0
28,4.507656682222778e-07,2829,0.7069275870453566,0.701059740036726,1,0
29,4.28170522054237e-07,2930,0.7357745901681483,0.7299067431595176,1,0
30,4.067176830335048e-07,3031,0.762058655032888,0.7561908080242574,1,0
