iter,residual,lbe_calls,wall_seconds_raw,wall_seconds,accepted,phase
0,0.0006018020015115828,1,0.008439458906650543,0.0,1,0
1,4.978015312260591e-06,202,0.08874714002013206,0.08030768111348152,1,0
2,2.9540566096937406e-06,403,0.16677371808327734,0.1583342591766268,1,0
3,2.1677300720378364e-06,604,0.23097544303163886,0.22253598412498832,1,0
4,1.7077398912676158e-06,805,0.2988074941094965,0.29036803520284593,1,0
5,1.3774636970454294e-06,1006,0.3817729610018432,0.37333350209519267,1,0
6,1.1192208017967956e-06,1207,0.4628327931277454,0.45439333422109485,1,0
7,9.113757735168154e-07,1408,0.5463798309210688,0.5379403720144182,1,0
8,7.42574045760503e-07,1609,0.6297745709307492,0.6213351120240986,1,0
9,6.051055995761255e-07,1810,0.7049369590822607,0.6964975001756102,1,0
10,4.930675886676039e-07,2011,0.7875330629758537,0.7790936040692031,1,0
11,4.017417411547748e-07,2212,0.8720682801213115,0.863628821214661,1,0
12,3.273026759788456e-07,2413,0.9528963670600206,0.94445690815337,1,0
13,2.666345842571034e-07,2614,1.0613180929794908,1.0528786340728402,1,0
14,2.1719594003413278e-07,2815,1.14544743206352,1.1370079731568694,1,0
15,1.7691292599380005e-07,3016,1.2246614671312273,1.2162220082245767,1,0
16,1.440934413230035e-07,3217,1.3191402480006218,1.3107007890939713,1,0
17,1.1735710352947893e-07,3418,1.405875334981829,1.3974358760751784,1,0
18,9.5578085969132e-08,3619,1.4956204949412495,1.487181036034599,1,0
