iter,residual,lbe_calls,wall_seconds_raw,wall_seconds,accepted,phase
0,0.000603657592038671,1,0.00028558005578815937,0.0,1,0
1,8.40982591001466e-06,33,0.013787151081487536,0.013501571025699377,1,0
2,2.9802658171339007e-06,65,0.026487357215955853,0.026201777160167694,1,0
3,2.0544380266471254e-06,97,0.038399995071813464,0.038114415016025305,1,0
4,1.7428386917821783e-06,129,0.04966306919232011,0.04937748913653195,1,0
5,1.6330970599589992e-06,161,0.06125657819211483,0.06097099813632667,1,0
6,1.5563238580713917e-06,193,0.07313889311626554,0.07285331306047738,1,0
7,1.4803775568897428e-06,225,0.08424957911483943,0.08396399905905128,1,0
8,1.4161393213778736e-06,257,0.09511429001577199,0.09482870995998383,1,0
9,1.3602436200029474e-06,289,0.10589731601066887,0.10561173595488071,1,0
10,1.313991919024406e-06,321,0.11650013201870024,0.11621455196291208,1,0
11,1.279690565669384e-06,353,0.12800406222231686,0.1277184821665287,1,0
12,1.2359559927509268e-06,385,0.14158515399321914,0.14129957393743098,1,0
13,1.1992827096745615e-06,417,0.1541144521906972,0.15382887213490903,1,0
14,1.1684116084048183e-06,449,0.16585703799501061,0.16557145793922246,1,0
15,1.1402963019278263e-06,481,0.17715893499553204,0.17687335493974388,1,0
16,1.1093372689106536e-06,513,0.18847649218514562,0.18819091212935746,1,0
17,1.0747380079502907e-06,545,0.19912442401982844,0.19883884396404028,1,0
18,1.0566581060390385e-06,577,0.20963813201524317,0.209352551959455,1,0
19,1.019800670806692e-06,609,0.2201691111549735,0.21988353109918535,1,0
20,9.861053224333819e-07,641,0.23086056509055197,0.2305749850347638,1,0
21,9.698683996859703e-07,673,0.2429868010804057,0.24270122102461755,1,0
22,9.429187292388653e-07,705,0.25490796915255487,0.2546223890967667,1,0
23,9.226122987247021e-07,737,0.2668243490625173,0.2665387690067291,1,0
24,9.071484222366548e-07,769,0.2783817790914327,0.27809619903564453,1,0
25,8.79251623160466e-07,801,0.2906936469953507,0.29040806693956256,1,0
26,8.608220647556709e-07,833,0.3027355831582099,0.30245000310242176,1,0
27,8.478893335662015e-07,865,0.313905451213941,0.3136198711581528,1,0
28,8.285702559600253e-07,897,0.324512675171718,0.32422709511592984,1,0
29,8.007496757106942e-07,929,0.335370333166793,0.33508475311100483,1,0
30,7.836618831441558e-07,961,0.34666993701830506,0.3463843569625169,1,0
31,7.599552395958536e-07,993,0.35836968617513776,0.3580841061193496,1,0
32,7.419517886036248e-07,1025,0.3704268920700997,0.37014131201431155,1,0
33,7.317521632124059e-07,1057,0.38266532006673515,0.382379740010947,1,0
34,7.131502827838593e-07,1089,0.39481617300771177,0.3945305929519236,1,0
35,6.95472295566772e-07,1121,0.4067170431371778,0.40643146308138967,1,0
36,6.829009849237437e-07,1153,0.4182430251967162,0.41795744514092803,1,0
37,6.651380406238898e-07,1185,0.4289041811134666,0.42861860105767846,1,0
38,6.486250121117071e-07,1217,0.4393913480453193,0.43910576798953116,1,0
39,6.396843751720182e-07,1249,0.4501624321565032,0.44987685210071504,1,0
