iter,residual,lbe_calls,wall_seconds_raw,wall_seconds,accepted,phase
0,0.0006018020015115828,1,0.008122676983475685,0.0,1,0
1,4.978015312260591e-06,202,0.07846587686799467,0.07034319988451898,1,0
2,2.9540566096937406e-06,403,0.15142256789840758,0.1432998909149319,1,0
3,2.1677300720378364e-06,604,0.22167666908353567,0.21355399210005999,1,0
4,1.7077398912676158e-06,805,0.2949891530442983,0.2868664760608226,1,0
5,1.3774636970454294e-06,1006,0.36606626003049314,0.35794358304701746,1,0
6,1.1192208017967956e-06,1207,0.4354679200332612,0.4273452430497855,1,0
7,9.113757735168154e-07,1408,0.5080286220181733,0.49990594503469765,1,0
8,7.42574045760503e-07,1609,0.5821023040916771,0.5739796271082014,1,0
9,6.051055995761255e-07,1810,0.6536131119355559,0.6454904349520802,1,0
10,4.930675886676039e-07,2011,0.7255664248950779,0.7174437479116023,1,0
11,4.017417411547748e-07,2212,0.797087473096326,0.7889647961128503,1,0
12,3.273026759788456e-07,2413,0.8674103340599686,0.8592876570764929,1,0
13,2.666345842571034e-07,2614,0.9362892878707498,0.9281666108872741,1,0
14,2.1719594003413278e-07,2815,1.0073011650238186,0.9991784880403429,1,0
15,1.7691292599380005e-07,3016,1.0806913380511105,1.0725686610676348,1,0
16,1.440934413230035e-07,3217,1.1566746439784765,1.1485519669950008,1,0
17,1.1735710352947893e-07,3418,1.2284451550804079,1.2203224780969322,1,0
18,9.5578085969132e-08,3619,1.2986897758673877,1.290567098883912,1,0
