source,axis,coord,component,value
TNO_ECN_E_11_042_Fig20_Albensoeder_Kuhlmann,x_center,0.000,uy,1.000
TNO_ECN_E_11_042_Fig20_Albensoeder_Kuhlmann,x_center,0.024,uy,0.594
TNO_ECN_E_11_042_Fig20_Albensoeder_Kuhlmann,x_center,0.034,uy,0.484
TNO_ECN_E_11_042_Fig20_Albensoeder_Kuhlmann,x_center,0.045,uy,0.398
TNO_ECN_E_11_042_Fig20_Albensoeder_Kuhlmann,x_center,0.051,uy,0.329
TNO_ECN_E_11_042_Fig20_Albensoeder_Kuhlmann,x_center,0.148,uy,0.121
TNO_ECN_E_11_042_Fig20_Albensoeder_Kuhlmann,x_center,0.266,uy,0.073
TNO_ECN_E_11_042_Fig20_Albensoeder_Kuhlmann,x_center,0.385,uy,0.037
TNO_ECN_E_11_042_Fig20_Albensoeder_Kuhlmann,x_center,0.500,uy,0.006
TNO_ECN_E_11_042_Fig20_Albensoeder_Kuhlmann,x_center,0.547,uy,-0.006
TNO_ECN_E_11_042_Fig20_Albensoeder_Kuhlmann,x_center,0.725,uy,-0.108
TNO_ECN_E_11_042_Fig20_Albensoeder_Kuhlmann,x_center,0.826,uy,-0.249
TNO_ECN_E_11_042_Fig20_Albensoeder_Kuhlmann,x_center,0.891,uy,-0.276
TNO_ECN_E_11_042_Fig20_Albensoeder_Kuhlmann,x_center,0.931,uy,-0.226
TNO_ECN_E_11_042_Fig20_Albensoeder_Kuhlmann,x_center,0.944,uy,-0.206
TNO_ECN_E_11_042_Fig20_Albensoeder_Kuhlmann,x_center,1.000,uy,0.000
TNO_ECN_E_11_042_Fig20_Albensoeder_Kuhlmann,y_center,0.000,ux,0.000
TNO_ECN_E_11_042_Fig20_Albensoeder_Kuhlmann,y_center,0.068,ux,-0.223
TNO_ECN_E_11_042_Fig20_Albensoeder_Kuhlmann,y_center,0.084,ux,-0.231
TNO_ECN_E_11_042_Fig20_Albensoeder_Kuhlmann,y_center,0.107,ux,-0.236
TNO_ECN_E_11_042_Fig20_Albensoeder_Kuhlmann,y_center,0.157,ux,-0.226
TNO_ECN_E_11_042_Fig20_Albensoeder_Kuhlmann,y_center,0.228,ux,-0.174
TNO_ECN_E_11_042_Fig20_Albensoeder_Kuhlmann,y_center,0.500,ux,-0.036
TNO_ECN_E_11_042_Fig20_Albensoeder_Kuhlmann,y_center,0.806,ux,0.155
TNO_ECN_E_11_042_Fig20_Albensoeder_Kuhlmann,y_center,0.863,ux,0.309
TNO_ECN_E_11_042_Fig20_Albensoeder_Kuhlmann,y_center,0.911,ux,0.432
TNO_ECN_E_11_042_Fig20_Albensoeder_Kuhlmann,y_center,0.937,ux,0.337
TNO_ECN_E_11_042_Fig20_Albensoeder_Kuhlmann,y_center,0.952,ux,0.296
TNO_ECN_E_11_042_Fig20_Albensoeder_Kuhlmann,y_center,0.962,ux,0.242
TNO_ECN_E_11_042_Fig20_Albensoeder_Kuhlmann,y_center,0.969,ux,0.190
TNO_ECN_E_11_042_Fig20_Albensoeder_Kuhlmann,y_center,1.000,ux,0.000
