step,time,transverse_centroid_offset,transverse_rms_radius,max_electric_field,max_capillary_acceleration,pass_metric,gas_charge_leakage_fraction,vof_mass_relative_error,divergence_reduction_ratio
0.0,0.0,0.01860163329510829,0.1991330691742442,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.001,0.018632933812996966,0.19915473437534903,0.0043185928114734375,0.0,3.285289928811608e-05,0.0,-3.285289928811608e-05,1.0
2.0,0.002,0.01866428227068866,0.1991763904289332,0.004318123177724025,0.0,3.284523999802502e-05,0.0,-3.284523999802502e-05,1.0
3.0,0.003,0.01869567839891918,0.19919803733713592,0.0043180960904018306,0.0,3.2837579446387544e-05,0.0,-3.2837579446387544e-05,1.0
4.0,0.004,0.018727121930148565,0.1992196751023643,0.004318069031495311,0.0,3.28299167643431e-05,0.0,-3.28299167643431e-05,1.0
5.0,0.005,0.018758612598465816,0.19924130372721946,0.004318042000969099,0.0,3.282225134337846e-05,0.0,-3.282225134337846e-05,1.0
6.0,0.006,0.018790150139528238,0.19926292321444858,0.004318014998786111,0.0,3.281458274095872e-05,0.0,-3.281458274095872e-05,1.0
7.0,0.007,0.01882173429051997,0.19928453356691178,0.004317988024907915,0.0,3.280691062390595e-05,0.0,-3.280691062390595e-05,1.0
8.0,0.008,0.018853364790121917,0.1993061347875582,0.004317961079294974,0.0,3.279923473287205e-05,0.0,-3.279923473287205e-05,1.0
9.0,0.009000000000000001,0.018885041378486157,0.19932772687940903,0.004317934161906818,0.0,3.279155486424212e-05,0.0,-3.279155486424212e-05,1.0
10.0,0.01,0.01891676379721933,0.19934930984554378,0.004317907272702228,0.0,3.2783870853703156e-05,0.0,-3.2783870853703156e-05,1.0
11.0,0.011,0.01894853178936685,0.19937088368909062,0.00431788041163933,0.0,3.277618256669612e-05,0.0,-3.277618256669612e-05,1.0
12.0,0.012,0.018980345099400203,0.19939244841321804,0.004317853578675721,0.0,3.276848989230974e-05,0.0,-3.276848989230974e-05,1.0
13.0,0.013000000000000001,0.019012203473206,0.19941400402112874,0.004317826773768524,0.0,3.2760792737951405e-05,0.0,-3.2760792737951405e-05,1.0
14.0,0.014,0.019044106658073913,0.19943555051605422,0.004317799996874478,0.0,3.275309102546142e-05,0.0,-3.275309102546142e-05,1.0
15.0,0.015,0.01907605440269066,0.19945708790125077,0.004317773247949983,0.0,3.2745384688004364e-05,0.0,-3.2745384688004364e-05,1.0
16.0,0.016,0.019108046457127888,0.19947861617999585,0.004317746526951143,0.0,3.2737673668514766e-05,0.0,-3.2737673668514766e-05,1.0
