step,time,transverse_centroid_offset,transverse_rms_radius,max_electric_field,max_capillary_acceleration,pass_metric,gas_charge_leakage_fraction,vof_mass_relative_error,divergence_reduction_ratio
0.0,0.0,0.01860163329510829,0.1991330691742442,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.001,0.018666205818837735,0.19917768454538312,0.004447958330650365,0.0,6.792642614839028e-05,0.0,-6.792642614839028e-05,1.0
2.0,0.002,0.018730980005067437,0.19922226114051228,0.004447399852480788,0.0,6.789429456977025e-05,0.0,-6.789429456977025e-05,1.0
3.0,0.003,0.01879595353427402,0.19926679898853647,0.004447284055712241,0.0,6.786212224063615e-05,0.0,-6.786212224063615e-05,1.0
4.0,0.004,0.01886112411320794,0.19931129811897214,0.004447168422895849,0.0,6.782990722586923e-05,0.0,-6.782990722586923e-05,1.0
5.0,0.005,0.0189264894744079,0.19935575856168708,0.004447052953569352,0.0,6.779764843845015e-05,0.0,-6.779764843845015e-05,1.0
6.0,0.006,0.01899204737585674,0.19940018034676302,0.004446937647267838,0.0,6.776534521291122e-05,0.0,-6.776534521291122e-05,1.0
7.0,0.007,0.019057795600703937,0.19944456350441547,0.004446822503524952,0.0,6.773299712070635e-05,0.0,-6.773299712070635e-05,1.0
8.0,0.008,0.019123731956490704,0.1994889080647675,0.004446707521873726,0.0,6.770060613547901e-05,0.0,-6.770060613547901e-05,1.0
9.0,0.009000000000000001,0.0191898504244193,0.1995332127571838,0.004446592701845565,0.0,6.768491978226265e-05,0.0,-6.768491978226265e-05,1.0
10.0,0.01,0.019256148889506233,0.19957747761678926,0.004446478031673709,0.0,6.766917048783849e-05,0.0,-6.766917048783849e-05,1.0
11.0,0.011,0.01932262526090954,0.1996217026787006,0.004446363510894435,0.0,6.76533581938088e-05,0.0,-6.76533581938088e-05,1.0
12.0,0.012,0.019389277471702538,0.19966588797801466,0.004446249139044843,0.0,6.763748287019755e-05,0.0,-6.763748287019755e-05,1.0
13.0,0.013000000000000001,0.019456103478646392,0.19971003354979935,0.004446134915663018,0.0,6.762154450856706e-05,0.0,-6.762154450856706e-05,1.0
14.0,0.014,0.019523101261962668,0.19975413942908715,0.004446020840288109,0.0,6.760554311668887e-05,0.0,-6.760554311668887e-05,1.0
15.0,0.015,0.01959026882511029,0.1997982056508692,0.004445906912460506,0.0,6.75894787129927e-05,0.0,-6.75894787129927e-05,1.0
16.0,0.016,0.019657604194557678,0.19984223225009184,0.004445793131721845,0.0,6.757335132778763e-05,0.0,-6.757335132778763e-05,1.0
17.0,0.017,0.01972510541955912,0.19988621926165281,0.0044456794976151185,0.0,6.755716099782205e-05,0.0,-6.755716099782205e-05,1.0
18.0,0.018000000000000002,0.019792770571928534,0.1999301667203987,0.004445566009684683,0.0,6.754090776628363e-05,0.0,-6.754090776628363e-05,1.0
19.0,0.019,0.019860597745815587,0.19997407466112294,0.0044454526674763154,0.0,6.75245916815781e-05,0.0,-6.75245916815781e-05,1.0
20.0,0.02,0.019928585057479048,0.20001794311856383,0.0044453394705372615,0.0,6.750821279621899e-05,0.0,-6.750821279621899e-05,1.0
21.0,0.021,0.019996730645063892,0.20006177212740317,0.004445226418416241,0.0,6.74917711658285e-05,0.0,-6.74917711658285e-05,1.0
22.0,0.022,0.020065032668377274,0.20010556172226515,0.00444511351066345,0.0,6.74752668491374e-05,0.0,-6.74752668491374e-05,1.0
23.0,0.023,0.020133489308662877,0.20014931193771535,0.0044450007468306236,0.0,6.74586999077631e-05,0.0,-6.74586999077631e-05,1.0
24.0,0.024,0.020202098768379508,0.2001930228082598,0.004444888126470998,0.0,6.744207040443317e-05,0.0,-6.744207040443317e-05,1.0
25.0,0.025,0.020270859270976983,0.20023669436834446,0.0044447756491393774,0.0,6.742537840465079e-05,0.0,-6.742537840465079e-05,1.0
26.0,0.026000000000000002,0.020339769060673942,0.20028032665235462,0.004444663314392072,0.0,6.740862397425218e-05,0.0,-6.740862397425218e-05,1.0
27.0,0.027,0.02040882640223827,0.20032391969461438,0.004444551121786957,0.0,6.739180718162707e-05,0.0,-6.739180718162707e-05,1.0
28.0,0.028,0.020478029580763706,0.20036747352938636,0.0044444390708834654,0.0,6.737492809527623e-05,0.0,-6.737492809527623e-05,1.0
