step,time,transverse_centroid_offset,transverse_rms_radius,max_electric_field,max_capillary_acceleration,pass_metric,gas_charge_leakage_fraction,vof_mass_relative_error,divergence_reduction_ratio
0.0,0.0,0.01860163329510829,0.1991330691742442,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.001,0.018691984800583282,0.19919543030147183,0.004663567529681049,0.0,9.505877466975399e-05,0.0,-9.505877466975399e-05,1.0
2.0,0.002,0.01878272840379141,0.1992577156913109,0.0046629154733421685,0.0,9.499613280650188e-05,0.0,-9.499613280650188e-05,1.0
3.0,0.003,0.018873857814221042,0.19931992542600954,0.00466270628807069,0.0,9.493336998034341e-05,0.0,-9.493336998034341e-05,1.0
4.0,0.004,0.018965366839548022,0.1993820595885879,0.004662497455128556,0.0,9.487048361456196e-05,0.0,-9.487048361456196e-05,1.0
5.0,0.005,0.019057246183861357,0.19944411718337612,0.004662288973142134,0.0,9.482132972882251e-05,0.0,-9.482132972882251e-05,1.0
6.0,0.006,0.019149485517824652,0.19950609682703785,0.004662080830934594,0.0,9.479097144771131e-05,0.0,-9.479097144771131e-05,1.0
7.0,0.007,0.019242079011359513,0.19956799861606456,0.004661873013733383,0.0,9.476043984457672e-05,0.0,-9.476043984457672e-05,1.0
8.0,0.008,0.019335020927055215,0.19962982264683302,0.004661665520176948,0.0,9.472973487778535e-05,0.0,-9.472973487778535e-05,1.0
9.0,0.009000000000000001,0.01942830561896945,0.19969156901556515,0.004661458348908535,0.0,9.469885660717825e-05,0.0,-9.469885660717825e-05,1.0
10.0,0.01,0.019521927531428323,0.19975323781830084,0.004661251498576823,0.0,9.466780515410278e-05,0.0,-9.466780515410278e-05,1.0
11.0,0.011,0.019615881197831548,0.19981482915088,0.004661044967836282,0.0,9.463658068575853e-05,0.0,-9.463658068575853e-05,1.0
12.0,0.012,0.01971016123945179,0.1998763431089297,0.004660838755347442,0.0,9.460518339898805e-05,0.0,-9.460518339898805e-05,1.0
13.0,0.013000000000000001,0.01980476236423674,0.19993777978785504,0.0046606328597770495,0.0,9.457361351350446e-05,0.0,-9.457361351350446e-05,1.0
14.0,0.014,0.019899679365611204,0.1999991392828323,0.004660427279798201,0.0,9.454187126478608e-05,0.0,-9.454187126478608e-05,1.0
15.0,0.015,0.019994907121275517,0.20006042168880434,0.004660222014090455,0.0,9.45099569011898e-05,0.0,-9.45099569011898e-05,1.0
16.0,0.016,0.020090440592011604,0.20012162710047696,0.004660017061339856,0.0,9.447787068084246e-05,0.0,-9.447787068084246e-05,1.0
17.0,0.017,0.020186274820486457,0.20018275561231624,0.0046598124202389905,0.0,9.444561286942044e-05,0.0,-9.444561286942044e-05,1.0
18.0,0.018000000000000002,0.020282404930061015,0.20024380731854677,0.0046596080894870055,0.0,9.4413183737041e-05,0.0,-9.4413183737041e-05,1.0
19.0,0.019,0.02037882612360266,0.20030478231315008,0.004659404067789613,0.0,9.43805835608158e-05,0.0,-9.43805835608158e-05,1.0
20.0,0.02,0.02047553368230405,0.20036568068986405,0.004659200353859104,0.0,9.434781261985492e-05,0.0,-9.434781261985492e-05,1.0
21.0,0.021,0.0205725229645049,0.20042650254218203,0.004658996946414341,0.0,9.43148711971542e-05,0.0,-9.43148711971542e-05,1.0
22.0,0.022,0.0206697894045219,0.20048724796335274,0.004658793844180735,0.0,9.428175957748586e-05,0.0,-9.428175957748586e-05,1.0
23.0,0.023,0.02076732851148589,0.20054791704638006,0.004658591045890213,0.0,9.424847804828662e-05,0.0,-9.424847804828662e-05,1.0
24.0,0.024,0.020865135868187133,0.20060850988402326,0.004658388550281247,0.0,9.421502689888062e-05,0.0,-9.421502689888062e-05,1.0
25.0,0.025,0.02096320712992886,0.20066902656879695,0.0046581863560988005,0.0,9.4181406418814e-05,0.0,-9.4181406418814e-05,1.0
26.0,0.026000000000000002,0.021061538023386096,0.20072946719297158,0.004657984462094283,0.0,9.414761689996443e-05,0.0,-9.414761689996443e-05,1.0
27.0,0.027,0.02116012434548314,0.20078983184857388,0.004657782867025568,0.0,9.411365863454257e-05,0.0,-9.411365863454257e-05,1.0
28.0,0.028,0.021258961962269986,0.20085012062738736,0.004657581569656928,0.0,9.407953191553631e-05,0.0,-9.407953191553631e-05,1.0
29.0,0.029,0.021358046807817666,0.2009103336209526,0.004657380568759024,0.0,9.404523703671064e-05,0.0,-9.404523703671064e-05,1.0
30.0,0.03,0.021457374883119145,0.20097047092056827,0.004657179863108855,0.0,9.401077429183058e-05,0.0,-9.401077429183058e-05,1.0
31.0,0.031,0.021556942255005325,0.20103053261729167,0.004656979451489774,0.0,9.39761439764375e-05,0.0,-9.39761439764375e-05,1.0
32.0,0.032,0.02165674505506856,0.20109051880193912,0.004656779332691363,0.0,9.394134638418539e-05,0.0,-9.394134638418539e-05,1.0
33.0,0.033,0.02175677947860328,0.20115042956508716,0.004656579505509514,0.0,9.390638181128175e-05,0.0,-9.390638181128175e-05,1.0
