case_id,label,difficulty,steps,dt,initial_offset,final_offset,max_offset,offset_growth,final_rms_radius,max_electric_field,max_capillary_acceleration,max_pass_metric,max_gas_charge_leakage,final_mass_error,mean_divergence_reduction_ratio,risk_class,completion_status
C0_normal,normal sharp tip,1,100,0.001,0.01860163329510829,0.02192882620621461,0.02192882620621461,1.1788656328356542,0.20125412174012536,0.0043185928114734375,0.0,3.285289928811608e-05,0.0,-3.2338924413344294e-05,1.0,stable reduced response,completed
C1_bent_2deg,2 deg bent tip,2,100,0.001,0.01860163329510829,0.025753686131753682,0.025753686131753682,1.3844852074643457,0.20340245826025313,0.004447958330650365,0.0,6.792642614839028e-05,0.0,-6.600077979601604e-05,1.0,stable reduced response,completed
C1_bent_5deg,5 deg bent tip,2,100,0.001,0.034758643030275704,0.0495383882348945,0.0495383882348945,1.4252106502473427,0.21048155903707813,0.0047561911239679565,0.0,0.00016099994930873773,0.0,-0.00014741196217316066,1.0,asymmetric-growth candidate,completed
C1_bent_10deg,10 deg bent tip,2,100,0.001,0.05659615711335907,0.08506594091058772,0.08506594091058772,1.503033867479822,0.20694848497532609,0.0049974744581866865,0.0,0.00032624993845342676,0.0,-0.0002520626293809336,1.0,whipping-growth candidate,completed
C2_bump_002Do,single bump h=0.02Do,3,100,0.001,0.01860163329510829,0.026273701296040466,0.026273701296040466,1.4124405571928844,0.2036788115272953,0.004749811209421399,0.0,7.255877284317869e-05,0.0,-7.035828882817619e-05,1.0,asymmetric-growth candidate,completed
C2_bump_005Do,single bump h=0.05Do,3,100,0.001,0.01860163329510829,0.03193889610880384,0.03193889610880384,1.7169941801402395,0.20651690612545584,0.00531039512922787,0.0,0.00012186023074134411,0.0,-0.0001152635462018381,1.0,asymmetric-growth candidate,completed
C2_bump_010Do,single bump h=0.10Do,3,100,0.001,0.04886216817150653,0.07576095330621774,0.07576095330621774,1.5505033063677465,0.2079968135285619,0.006314885653986788,0.0,0.00029659081605459825,0.0,-0.00024447800016291765,1.0,whipping-growth candidate,completed
C3_split_002Do,split/notched tip d=0.02Do,4,100,0.001,0.034758643030275704,0.05094691619087495,0.05094691619087495,1.4657337499193748,0.2111390459569923,0.005195989444006493,0.0,0.00017592851091496886,0.0,-0.0001595791074797681,1.0,asymmetric-growth candidate,completed
C3_split_005Do,split/notched tip d=0.05Do,4,100,0.001,0.05659615711335907,0.08709034414757102,0.08709034414757102,1.5388031376959699,0.2078237147542693,0.005944107275948974,0.0,0.00034931241289470893,0.0,-0.0002638207671566972,1.0,whipping-growth candidate,completed
C3_split_010Do,split/notched tip d=0.10Do,4,100,0.001,0.07297936108358989,0.1272911729916509,0.1272911729916509,1.7442078294691121,0.2173760097100247,0.007415179523400638,0.0,0.0007366665281517415,0.0,-0.00038570053074504784,1.0,whipping-growth candidate,completed
C4_oxidized_mild,mild oxidized rough tip,5,100,0.001,0.01860163329510829,0.028833948539513776,0.028833948539513776,1.5500761724561196,0.2049971771864824,0.004663567529681049,0.0,9.505877466975399e-05,0.0,-9.119873008411883e-05,1.0,asymmetric-growth candidate,completed
C4_oxidized_moderate,moderate oxidized rough tip,5,100,0.001,0.04886216817150653,0.06725605240422784,0.06725605240422784,1.376444290563584,0.20407955676594944,0.005009684311018708,0.0,0.0002038635778425224,0.0,-0.00018036158977841055,1.0,whipping-growth candidate,completed
C4_oxidized_severe,severe oxidized rough tip,5,100,0.001,0.05659615711335907,0.08852031465357305,0.08852031465357305,1.5640693497311415,0.20842868718553265,0.005599877159777659,0.0,0.000365624922700869,0.0,-0.0002716261397227582,1.0,whipping-growth candidate,completed
